SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,269,5,26,21,23,44,44,41,55,31,19,12,0,1704,47,151,139,138,279,299,290,311,230,98,59,0,0,0,0,0,0.0114504,0,0.0020202,0,0,0.0123457,0.004,0.0411765,0.0282609,0,0,0,0,0,0.00481464,0.00884956,0,0,0,0,0.00549451,0,0.0161943,0,0.02,0.00361011,0.00345423,0.0185185,0.00316122,0,0.0262794,0.00625978,0.0179372,0.00223214,0.00159337,0.0101523,0.0157593,0,0,0,0.0121951,0,0,0.0045045,0,0.00606827,0,0.0169492,0.000758917,0.00204082,0,0,0.0200669,0.000503461,0.0118906,0.00246914,0.00438596,0,0,0.0214236,0.00459418,0,0.01417,0,0.0572519,0,0.0424242,0,0.0201238,0.0864198,0.044,0.241176,0.171739,0,0.00584795,0.00162602,0,0.00557103,0.0399615,0.00884956,0.00537634,0.00917431,0.0801527,0.0227273,0.0516484,0.00230947,0.109312,0,0.0733333,0.032491,0.025331,0.0648148,0.0142255,0.00884956,0.121715,0.0482003,0.139013,0.00446429,0.0111536,0.036379,0.0859599,0.00181818,0,0.000888099,0.0792683,0.00941176,0.0075188,0.0315315,0,0.0424779,0,0.101695,0.00531242,0.00612245,0,0.0266667,0.0702341,0.00100692,0.0713436,0.0123457,0.0409357,0,0,0.121631,0.0193977,0.003125,86314704
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53995,2518,6135,6049,12602,12132,7365,6727,6722,4698,2458,1184,107,359,10,36,35,26,66,60,60,64,47,19,17,0,1678,49,146,154,111,296,277,296,289,232,110,63,4,0,0,0,0,0.0172414,0,0.00404858,0.0172414,0,0.0127389,0.00389105,0.0578035,0.0360767,0,0,0,0,0,0.00730638,0,0,0.0043956,0.00371747,0,0.00550055,0,0.0252101,0,0.0205479,0.00475059,0.00664653,0.0275229,0.0031348,0,0.0308555,0.00696864,0.0314254,0.00229885,0.00220472,0.0131349,0.0153846,0,0,0,0.0125786,0,0.00254453,0.00729927,0,0.00913474,0,0.0285714,0.00101061,0.00292642,0,0,0.023569,0.000634276,0.0174782,0.00243902,0.0057971,0,0,0.0306705,0.00512295,0,0.0124481,0,0.0651341,0,0.0445344,0.0172414,0.0197869,0.0955414,0.0389105,0.213873,0.177001,0,0.00473373,0.00160514,0,0.00817439,0.0379932,0,0.00543478,0.00879121,0.0780669,0,0.0451045,0.00231481,0.105042,0.025641,0.0479452,0.0285036,0.0253776,0.0917431,0.0125392,0.0172414,0.115007,0.0449794,0.140292,0.0114943,0.0113386,0.0385289,0.0797203,0.00179533,0,0.000893655,0.081761,0.00915332,0.0101781,0.0316302,0.00649351,0.04339,0,0.0952381,0.00555836,0.00877926,0,0.0266667,0.0707071,0.00215654,0.0761548,0.0146341,0.0362319,0,0,0.121255,0.0189549,0.00457317,86314704
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53714,2441,6026,5849,12386,11888,7698,6483,6595,4790,2530,1151,193,411,7,28,43,15,70,72,66,77,58,31,22,0,1824,36,160,183,98,360,293,316,310,248,128,66,5,0,0,0,0,0.0138067,0,0.00396825,0.015625,0,0.0243902,0.00355872,0.0505618,0.0352673,0,0.00122249,0,0,0,0.00745156,0,0,0.00440529,0.00389105,0,0.00885936,0,0.0246914,0,0.0268456,0.0060241,0.00731707,0.0366972,0.0032,0,0.0325318,0.0090527,0.0383747,0.00234192,0.00249221,0.0138408,0.0210674,0,0,0,0.0126582,0,0.00488998,0.0103896,0,0.0101061,0,0.0169492,0.00203149,0.00376569,0,0,0.03,0.00102054,0.0240811,0.00251889,0.00920245,0,0,0.033779,0.00470465,0,0.0107991,0.00591716,0.0650888,0,0.0456349,0.015625,0.0164425,0.134146,0.0284698,0.207865,0.170648,0,0.00488998,0.00470219,0,0.00835655,0.041232,0,0.00505051,0.00881057,0.0817121,0,0.0420819,0.00230415,0.123457,0.027027,0.0738255,0.0240964,0.0256098,0.119266,0.0149333,0.00833333,0.130127,0.0413838,0.160271,0.0117096,0.011838,0.0536332,0.0955056,0.00186916,0,0,0.0759494,0.00907029,0.0146699,0.0363636,0.00625,0.048004,0,0.0847458,0.00609446,0.0138075,0,0.0123457,0.09,0.00510269,0.102662,0.0151134,0.0322086,0,0,0.126671,0.0209096,0.0046729,86314704
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53295,2367,5926,5669,12131,11519,8172,6214,6442,4832,2602,1106,277,459,3,32,42,16,79,79,70,93,61,37,21,3,2069,19,180,198,112,397,363,344,342,267,160,72,12,0,0,0.00215983,0,0.0135135,0,0.002079,0.0140845,0.00151057,0.0326797,0.00357143,0.0666667,0.0336427,0,0.001287,0,0.00478469,0,0.00767656,0,0.0049505,0.00879121,0.00380228,0,0.0103093,0,0.0212766,0,0.0197368,0.00713436,0.00939261,0.0350877,0.00215983,0,0.0437853,0.0123416,0.0385463,0.00245098,0.00217933,0.0154905,0.0180807,0,0,0,0.00617284,0,0.00738916,0.0127551,0,0.0125945,0,0.0234375,0.00256016,0.00253807,0,0,0.0176678,0.0017864,0.028169,0.00254453,0.0125589,0,0.0294118,0.0349003,0.00576822,0,0.0151188,0.0060241,0.0694981,0,0.047817,0.0140845,0.0060423,0.202614,0.0142857,0.238889,0.186775,0,0.00514801,0.0046875,0.00478469,0.00854701,0.0440123,0.010101,0.019802,0.0153846,0.0684411,0.0151515,0.0412371,0.00230415,0.131915,0.025641,0.0789474,0.0344828,0.0331872,0.140351,0.0183585,0,0.144068,0.0463642,0.170705,0.0196078,0.0133873,0.0671256,0.109875,0,0,0.00088574,0.0679012,0.00865801,0.0270936,0.0433673,0.0201342,0.0541562,0,0.125,0.00998464,0.0143824,0,0.0121951,0.0812721,0.00740079,0.119078,0.0127226,0.032967,0,0.0882353,0.143875,0.024646,0.00953895,86314704
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52798,2318,5765,5549,11786,11230,8529,5998,6263,4910,2653,1090,339,527,5,26,50,15,90,103,81,100,69,42,21,6,2330,36,170,242,125,461,439,352,364,308,178,78,25,0,0,0,0,0.0172084,0,0.00425532,0.0147059,0.00152672,0.0301205,0.00353357,0.0742857,0.0382318,0,0.0012837,0,0.0049505,0,0.0120482,0,0.00507614,0.0104384,0.00398406,0,0.0136986,0.00241546,0.0211864,0,0.0261438,0.0108696,0.0128535,0.0353982,0.00162602,0,0.0399429,0.0162686,0.0463576,0.00498753,0.00124494,0.0172414,0.0211864,0,0,0,0.0120482,0,0.00793651,0.0177215,0,0.0138679,0,0.0227273,0.00389206,0.00252525,0,0,0.0138408,0.0024306,0.0318066,0.00255102,0.0113636,0,0.028169,0.0374532,0.00805153,0.0016,0.0131004,0.00588235,0.0764818,0,0.0404255,0.0735294,0.00763359,0.204819,0.0106007,0.262857,0.194743,0,0.00770218,0.00314961,0.00990099,0.00574713,0.0534311,0.00961538,0.0203046,0.0229645,0.059761,0.0298507,0.0513699,0.00966184,0.118644,0.0227273,0.0980392,0.0374396,0.0449871,0.168142,0.0195122,0,0.141227,0.0571132,0.193157,0.0274314,0.0161843,0.0810345,0.115819,0.00192678,0,0.00268817,0.0963855,0.0045045,0.037037,0.0556962,0.0181818,0.0584972,0,0.128788,0.0119357,0.0206229,0,0.0113636,0.0968858,0.0101062,0.133588,0.0153061,0.0405844,0,0.0704225,0.170037,0.0241546,0.0128,86314704
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52323,2269,5634,5466,11496,10983,8764,5820,6126,4925,2748,1085,376,615,9,23,66,23,103,122,99,100,88,51,20,9,2671,53,171,287,139,530,535,386,400,366,206,77,32,0,0,0,0,0.0170778,0,0.004158,0,0.0014771,0.0388889,0.0034965,0.0764706,0.0420792,0,0.00258732,0,0.00465116,0,0.0147835,0,0.00930233,0.00613497,0.00413223,0,0.0115875,0.00239234,0.0219298,0,0.0310559,0.0168675,0.0143416,0.042735,0.0011236,0,0.0544118,0.0173023,0.0613636,0.00746269,0.00315358,0.0214041,0.0328571,0,0,0,0.0177515,0,0.0103896,0.0230179,0,0.0145001,0,0.037037,0.00369101,0.00299401,0,0,0.0135593,0.00345976,0.0379404,0.00255754,0.0116279,0,0.0277778,0.0438799,0.0100446,0.00481541,0.010917,0.00571429,0.0910816,0,0.043659,0.0895522,0.0103397,0.194444,0.0174825,0.282353,0.20297,0,0.0116429,0.00308166,0.0232558,0.00573066,0.0607181,0.00934579,0.0372093,0.0245399,0.053719,0.0289855,0.0579374,0.0143541,0.140351,0.0465116,0.111801,0.0578313,0.0488918,0.153846,0.0213483,0,0.177941,0.0646186,0.225,0.0298507,0.021129,0.0847603,0.124286,0.00190476,0,0.00443262,0.118343,0.00230415,0.0519481,0.0869565,0,0.0699568,0,0.140741,0.0163459,0.0226689,0,0.0123457,0.0949153,0.0149923,0.151762,0.0179028,0.0548173,0,0.0833333,0.194765,0.0284598,0.0160514,86314704
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51780,2192,5515,5374,11161,10741,8997,5635,5937,4965,2831,1112,401,670,10,30,70,31,109,137,104,105,90,64,22,8,2927,44,194,295,145,562,625,401,451,392,229,82,40,0,0,0.00225734,0,0.0225989,0,0.00416667,0,0.00147929,0.0326087,0.00343643,0.1,0.0442478,0,0.00129199,0,0.00429185,0.00311526,0.0151351,0,0.00947867,0.00821355,0.00440529,0,0.0175029,0.00243309,0.0181818,0,0.0457516,0.0210136,0.0105263,0.045045,0.00284576,0,0.0611028,0.0211939,0.0583524,0.004914,0.00375822,0.0248447,0.0362845,0,0,0.00184162,0.0171429,0,0.0103896,0.0235849,0,0.0165986,0,0.0291971,0.00404204,0.00347222,0,0,0.016129,0.00412797,0.0394558,0.00242718,0.0136054,0,0,0.0486111,0.0102389,0.00488599,0.0158014,0,0.0903955,0,0.03125,0.0895522,0.0118343,0.195652,0.024055,0.29375,0.183312,0,0.00775194,0.0030722,0.0171674,0.00934579,0.0659459,0.00970874,0.0616114,0.0328542,0.030837,0.0277778,0.0676779,0.0291971,0.154545,0.0204082,0.137255,0.07911,0.0592105,0.18018,0.0221969,0,0.202683,0.0780643,0.232265,0.034398,0.0206702,0.102928,0.139332,0.00392927,0,0.00644567,0.125714,0.00449438,0.0441558,0.0896226,0.00632911,0.0760981,0,0.160584,0.0237133,0.0238715,0.00537634,0.0126582,0.104839,0.0187049,0.161905,0.00970874,0.0714286,0,0.084507,0.209105,0.0341297,0.0228013,86314704
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51240,2158,5340,5261,10866,10495,9236,5443,5771,4984,2879,1152,414,772,11,34,78,40,125,170,104,114,104,79,25,11,3178,54,197,308,169,571,679,455,470,441,255,94,44,0,0,0.00221239,0,0.0304762,0,0.00429185,0,0.00150376,0.0437158,0.00704225,0.137255,0.0417193,0,0.0026455,0.00158228,0.00425532,0.003367,0.0164981,0,0.00921659,0.00811359,0,0,0.0144058,0.00990099,0.0185185,0,0.027972,0.0214646,0.00881954,0.0707965,0.0040253,0,0.0855856,0.0261461,0.0782918,0.00755668,0.00527132,0.0328168,0.0389805,0,0,0.00275482,0.0462428,0,0.0105263,0.0269608,0,0.0154202,0,0.0510949,0.00516164,0.0043611,0,0,0.0206612,0.00414884,0.0419486,0.00767263,0.0177305,0,0,0.059919,0.00871586,0.0111643,0.0154867,0,0.0990476,0,0.0343348,0.0895522,0.0120301,0.229508,0.0316901,0.300654,0.197219,0,0.00793651,0.00632911,0.0255319,0.00673401,0.0782331,0,0.0829493,0.0385396,0.0265487,0.027027,0.0756303,0.0371287,0.166667,0.0175439,0.181818,0.0871212,0.0658073,0.20354,0.026452,0,0.220721,0.0898997,0.245552,0.0327456,0.0248062,0.110301,0.151424,0.00406504,0,0.0110193,0.127168,0.00449438,0.0552632,0.107843,0.0118343,0.080185,0,0.182482,0.0268949,0.0266027,0.0111111,0.0117647,0.115702,0.0225593,0.158322,0.0102302,0.0797872,0,0.0833333,0.225911,0.0319582,0.0271132,86314704
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.729788,0.000882994,0.000132688,S,0,26,50664,2221,5198,5159,10563,10274,9348,5357,5548,4990,2972,1173,439,938,15,50,80,40,154,222,133,134,120,93,28,14,3464,62,216,317,179,606,777,493,488,494,279,102,46,36974,0,0.00215054,0,0.0415094,0,0.00652174,0,0.00306748,0.0685714,0.00996678,0.174825,0.0520156,0,0.00269542,0.00165837,0.00436681,0,0.023115,0.00884956,0.00892857,0.00628931,0.00438596,0,0.0178147,0.00997506,0.0224215,0,0.047619,0.0262812,0.0109815,0.0782609,0.00564016,0,0.0931677,0.0363436,0.0917647,0.00817439,0.00541919,0.0392694,0.0475483,0,0,0.00371058,0.0621469,0,0.00573066,0.031401,0,0.0179501,0,0.0551181,0.00550358,0.0047993,0.00552486,0,0.037037,0.00560115,0.0496552,0.00775194,0.0261682,0,0,0.0685259,0.0122664,0.0155172,0.0215054,0.00574713,0.107547,0,0.0369565,0.0724638,0.0153374,0.257143,0.0498339,0.286713,0.192458,0,0.0134771,0.0116086,0.0305677,0.00727273,0.0847551,0.0176991,0.0892857,0.0419287,0.0307018,0.0136986,0.0866983,0.0448878,0.147982,0,0.183673,0.110381,0.0700069,0.243478,0.0293288,0,0.236025,0.10536,0.278824,0.0435967,0.0267772,0.124201,0.148588,0.00410678,0,0.0157699,0.152542,0.00430108,0.0573066,0.10628,0.0114943,0.0863684,0.00680272,0.212598,0.0297193,0.0266143,0.0165746,0.0111111,0.106996,0.0261821,0.177931,0.0129199,0.0971963,0,0.0923077,0.239841,0.0403037,0.0344828,86314704
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.729708,0.000882994,0.000132688,S,0,26,50105,2172,5104,5054,10295,10081,9352,5317,5429,4925,3025,1224,457,271,4,15,13,11,34,72,41,37,36,25,11,4,2267,25,113,179,92,362,530,331,340,326,193,61,32,36562,0,0,0,0.00382409,0,0.00428266,0.0144928,0,0.00561798,0,0.0394737,0.013459,0,0.0013986,0.00163666,0.00413223,0,0.00672646,0.00943396,0.00425532,0.002079,0,0,0.00486618,0.00793651,0.00469484,0,0,0.00668449,0.00210231,0.0224719,0.0011325,0,0.0324575,0.0108736,0.0269006,0.00282486,0.00130208,0.0120259,0.0170015,0,0,0.00186567,0.0165746,0,0.00287356,0.00968523,0,0.00471822,0,0.0163934,0.00193906,0.000886525,0,0,0.00763359,0.00155966,0.015493,0.00524934,0.00589391,0,0,0.0252649,0.00362757,0.00513699,0.0171306,0.00584795,0.0535373,0,0.0235546,0.057971,0.00923077,0.106742,0.0160256,0.164474,0.12786,0,0.013986,0.00981997,0.0206612,0,0.051009,0.0283019,0.0468085,0.033264,0.0276498,0,0.0450122,0.037037,0.117371,0,0.111842,0.0695187,0.0462509,0.224719,0.0192525,0,0.140649,0.0761155,0.176608,0.039548,0.0133464,0.0897317,0.100464,0.00421053,0,0.0102612,0.132597,0.00214592,0.045977,0.0750605,0.0111111,0.0576671,0,0.0983607,0.0199446,0.0199468,0.0126582,0.0103093,0.0610687,0.018196,0.133803,0.00787402,0.0687623,0,0.03125,0.159739,0.0272068,0.0325342,86314704
1,2020,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,49439,2008,5083,4930,9985,9844,9296,5407,5196,4865,3103,1273,470,81,0,6,5,2,16,23,9,9,13,5,1,3,1317,16,70,98,55,203,308,190,191,187,117,49,17,0,0,0,0,0,0,0,0,0,0,0,0.0140845,0.00276243,0,0,0,0,0,0.00224719,0,0.00436681,0,0,0,0.00123916,0.0025974,0,0,0,0.00405405,0.00215363,0,0.000585823,0,0.015625,0.00225479,0.00606061,0.00283286,0.00032352,0.00185529,0.00309598,0,0,0,0.00546448,0,0,0.004914,0,0.00106213,0,0,0.00057323,0.000909091,0,0,0,0.00118359,0.0056101,0,0.0059761,0,0,0.0059727,0.000620732,0.00180832,0.00218818,0.00537634,0.042065,0,0.0138249,0.0428571,0.00156006,0.0446927,0.00322581,0.0774648,0.0759669,0,0.00707214,0.00483092,0.0170213,0,0.0297753,0.00819672,0.0305677,0.0143737,0.0148515,0,0.0272615,0.025974,0.0549451,0,0.0645161,0.0540541,0.0272793,0.130435,0.0123023,0,0.0921875,0.0394589,0.113939,0.01983,0.00873504,0.0482375,0.0603715,0.00421941,0,0.00726612,0.0655738,0.00218818,0.0229885,0.041769,0.0169492,0.031333,0,0.0423729,0.0137575,0.0145455,0.00666667,0.0107527,0.0437956,0.0107838,0.0785414,0.00259067,0.0498008,0,0.0277778,0.0921502,0.0180012,0.0144665,86314704
1,2021,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.728029,0.000882994,0.000132688,S,0,26,48803,1909,4983,4816,9626,9620,9173,5644,4991,4808,3147,1318,476,85,0,4,4,1,13,23,13,6,15,10,1,3,1197,14,57,86,53,155,273,192,164,179,113,50,18,35530,0,0,0,0,0,0,0,0,0,0,0.0212766,0.00407609,0,0,0,0,0,0.00227402,0,0,0,0,0,0.00127877,0.00263852,0,0,0,0.00408719,0.00146306,0,0.000601323,0,0.0138037,0.00379507,0.00753769,0,0.000325521,0,0.00466563,0,0,0,0.00568182,0,0,0.0049505,0,0.000806018,0,0,0.000593824,0.00137174,0,0,0,0.00171346,0.00423131,0,0.00395257,0,0,0.0069025,0.000651042,0,0.00232558,0.00568182,0.0338346,0,0.00913242,0.031746,0.0015361,0.0331492,0.00332226,0.0851064,0.0638587,0,0.00764526,0.00470219,0.0163934,0,0.0289937,0.00769231,0.0401786,0.0105932,0.00485437,0,0.0268542,0.0263852,0.0473373,0,0.0479452,0.0544959,0.0241405,0.0927835,0.00962117,0,0.0920245,0.0409867,0.0942211,0.0185759,0.0078125,0.0369668,0.059098,0.00635593,0,0.00896861,0.0625,0,0.0142045,0.0445545,0.00584795,0.0255239,0,0.0472441,0.0139549,0.0132602,0.00694444,0.0116279,0.046595,0.0102807,0.077574,0.00253165,0.0474308,0,0.0136986,0.0836928,0.0175781,0.0150943,86314704
1,2022,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,48198,1856,4842,4694,9256,9489,8998,5901,4826,4711,3219,1316,482,21,0,1,0,0,2,3,3,4,4,2,2,1,639,9,32,50,29,83,143,107,93,85,57,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115009,0,0,0,0,0,0.00133869,0,0,0,0,0.00136612,0,0,0,0,0.00154083,0.00114767,0,0,0.000322061,0,0,0,0,0,0.00617284,0,0,0.00248139,0,0,0,0,0.000297354,0.00092081,0,0,0,0.000670511,0.00141243,0,0.00210084,0,0,0,0,0,0.002457,0,0.0184162,0,0.00445434,0.0169492,0,0.00555556,0.0033557,0.0866667,0.0305981,0,0.00314961,0.00310559,0.00813008,0,0.0189764,0.016129,0.0219298,0.00209644,0.00462963,0,0.0147256,0.0162162,0.0185185,0,0.0129032,0.0286885,0.0141685,0.0113636,0.00549786,0,0.0539291,0.024101,0.0466045,0.0119403,0.0041868,0.0188867,0.0337942,0.0021645,0,0.00439754,0.0308642,0,0.00288184,0.0297767,0.00549451,0.0113514,0,0.00775194,0.00743384,0.00782689,0.00653595,0.0114943,0.0225564,0.00657101,0.0353107,0.00268097,0.0252101,0,0,0.0464505,0.00875421,0.0117878,86314704
1,2023,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.00983204,0.000882994,0.000132688,S,0,26,47622,1845,4719,4577,8915,9314,8777,6151,4679,4583,3301,1388,514,24,0,2,0,1,2,3,5,4,3,3,2,1,489,3,26,31,16,62,110,80,69,65,50,29,8,48,3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176367,0,0,0,0,0,0.00136054,0,0,0,0,0.0013624,0,0,0,0,0.00303951,0.000763942,0,0,0.000322269,0,0,0,0,0,0.00641026,0,0,0.00980392,0,0,0,0,0.000302389,0.000898876,0,0,0,0.000548697,0.00141443,0,0.00221729,0,0,0,0,0,0.0025,0,0.0111111,0,0.0021978,0.015873,0.00337268,0.00561798,0,0.0689655,0.0258993,0,0.0016835,0.00309598,0.00401606,0,0.0164609,0.00787402,0.0169492,0.00207469,0,0,0.00952381,0.0167598,0.00598802,0,0.0130719,0.020436,0.00984103,0.0116279,0.004375,0,0.0471125,0.0190985,0.0359116,0.00597015,0.00354496,0.0130785,0.0227618,0.00226757,0,0.00256849,0.0384615,0,0.00283286,0.0245098,0.00606061,0.00740741,0,0.00793651,0.00453583,0.00808989,0.0134228,0.0215054,0.0195312,0.00548697,0.0183876,0.0027248,0.0221729,0,0.0133333,0.0339893,0.00680272,0.0119522,86314704
