SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,270,5,11,30,17,38,51,49,43,36,25,11,0,1881,52,126,157,142,280,355,334,303,265,137,65,0,0,0,0.00809717,0,0,0,0.0040404,0,0.0123839,0.00617284,0,0,0.00434783,0,0.00233918,0,0.0178571,0.0111421,0.00337025,0.00884956,0,0,0,0,0,0,0.00809717,0.0425532,0,0.00601685,0.000575705,0.00925926,0.00105374,0.00884956,0.00138313,0.00719875,0,0.00446429,0.00191205,0,0,0,0,0.0035524,0.00609756,0.00235294,0,0.0045045,0,0.00278129,0,0.00847458,0.000252972,0.0114286,0.0103627,0,0.00334448,0.0133417,0.00118906,0.00493827,0.00584795,0,0.0188679,0.00691085,0.00204186,0.0109375,0.0242915,0.0164835,0.0171756,0,0.0363636,0.0185185,0.0913313,0.037037,0.008,0,0.0206522,0,0.0304094,0.00162602,0.0580357,0.0779944,0.0288878,0.0442478,0,0.00458716,0,0,0.0032967,0,0.048583,0.106383,0.00666667,0.0565584,0.0120898,0.138889,0.00948367,0.0176991,0.011065,0.0544601,0.00112108,0.046875,0.0105163,0.000846024,0,0.00181818,0.75,0.0257549,0.0304878,0.00235294,0.0225564,0.00900901,0.0070922,0.014665,0,0.00847458,0.00531242,0.0881633,0.015544,0.0133333,0.00334448,0.0884833,0.00237812,0.0395062,0.0131579,0,0.132075,0.0559779,0.0137825,0.0828125,3824971050
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53941,2520,6156,6092,12631,12115,7363,6688,6715,4704,2445,1176,104,375,10,27,38,22,65,63,59,57,58,33,16,2,1877,58,139,163,115,305,339,316,307,276,143,72,4,0,0,0.0060241,0,0.00389105,0,0.011811,0,0.0239234,0.00609756,0,0,0.00663717,0,0.00481348,0,0.0220264,0.0193906,0.00628931,0.0169492,0,0,0,0,0,0,0.00858369,0.0425532,0,0.01,0.00058309,0.00990099,0.00105042,0.00934579,0.00141643,0.0113821,0,0.00229358,0.0022096,0,0,0,0,0.00441696,0.0060241,0.00233645,0.00255754,0.00699301,0.00740741,0.0019975,0,0.00869565,0.000253229,0.0185874,0.0204082,0,0.00369004,0.0167549,0.00121507,0.005,0.0104322,0,0.037037,0.0108147,0.00359712,0.0172414,0.0220884,0.0160428,0.0214008,0,0.0452756,0.0232558,0.0893142,0.0304878,0.00735294,0,0.0254425,0,0.0288809,0.00159236,0.0660793,0.0747922,0.030479,0.0423729,0,0.00444444,0,0,0.00326087,0,0.0600858,0.12766,0.00719424,0.06375,0.0116618,0.108911,0.00945378,0.0280374,0.00991501,0.0572358,0.00112994,0.0206422,0.0135732,0.000865801,0,0.00182149,0.555556,0.0256184,0.0301205,0.00233645,0.0230179,0.011655,0.0148148,0.0134831,0,0.00869565,0.00481134,0.0871541,0.0306122,0,0.00369004,0.0874276,0.00243013,0.04,0.0193741,0,0.148148,0.0519106,0.0159301,0.0877743,3824971050
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53610,2457,6057,5890,12438,11890,7567,6475,6593,4805,2544,1097,201,414,5,37,42,22,81,70,59,64,72,29,15,2,2056,39,166,196,116,395,378,316,312,311,147,72,9,0,0,0.00819672,0,0.00399202,0,0.0116279,0,0.0241935,0,0,0,0.00680272,0,0.00487805,0,0.0230415,0.0235988,0.00623501,0.0243902,0,0.00218341,0,0,0.00112108,0,0.00892857,0.0363636,0,0.0110159,0.00177936,0,0.000523834,0.00925926,0.00282486,0.012612,0,0.00239808,0.00218887,0,0,0,0,0.00522648,0.00595238,0,0.00526316,0.00689655,0.00769231,0.00248942,0,0.00819672,0.000514007,0.0217659,0.0365297,0,0.00384615,0.0176016,0.00125,0.00697674,0.0135747,0,0.0350877,0.012782,0.00421274,0.0205047,0.0327869,0.00588235,0.0179641,0,0.0484496,0.0222222,0.0951613,0.0243902,0.019544,0.00606061,0.0260771,0,0.0317073,0.00163934,0.0737327,0.0973451,0.0364508,0.0813008,0,0.00873362,0,0,0.00672646,0.00458716,0.0535714,0.145455,0,0.0648715,0.0130486,0.0990099,0.00838135,0.0462963,0.0127119,0.063392,0.00339367,0.0215827,0.0153221,0.00266667,0.0014881,0.00182815,0.307692,0.0235192,0.0357143,0.00896861,0.0236842,0.0183908,0.0307692,0.0186706,0,0.0163934,0.00514007,0.0944559,0.0639269,0,0.0230769,0.0921869,0.00625,0.0395349,0.0316742,0,0.140351,0.0541353,0.0163244,0.0851735,3824971050
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53200,2401,5971,5686,12170,11610,7930,6245,6464,4839,2620,1070,252,501,7,41,49,22,99,90,71,82,71,44,18,4,2239,31,176,212,113,432,432,331,340,324,175,80,12,0,0,0.00803213,0,0.00397614,0,0.0129151,0,0.0278746,0,0.003003,0,0.0091954,0,0.00492611,0,0.029703,0.0271084,0.00827251,0.0220588,0,0.0021097,0,0,0.00112994,0,0.00947867,0.0181818,0,0.015625,0.00243902,0,0.00105932,0.00900901,0.00285307,0.0135593,0,0.00490196,0.0027959,0,0.0015083,0,0,0.00866551,0.00558659,0,0.00558659,0.00923788,0.00813008,0.00323383,0.01,0,0.00104877,0.0270833,0.0353982,0,0.00719424,0.0217062,0.00272109,0.00898876,0.0149254,0,0.0508475,0.013772,0.00643777,0.0208333,0.0281124,0.00571429,0.0258449,0.0178571,0.0516605,0.0222222,0.10453,0.0299401,0.027027,0.0125,0.0333333,0,0.0246305,0.00163399,0.113861,0.10241,0.0437956,0.125,0.00526316,0.0105485,0.00408163,0,0.00451977,0.00694444,0.0473934,0.163636,0,0.0637019,0.0115854,0.0841121,0.0105932,0.0540541,0.0128388,0.0677966,0.00461361,0.0294118,0.0173967,0.00457875,0.00603318,0.00545455,0.2,0.0303293,0.0391061,0.0113122,0.0195531,0.0254042,0.0569106,0.020398,0.01,0.0471698,0.00707918,0.100833,0.079646,0,0.0323741,0.0946492,0.00952381,0.0314607,0.0447761,0,0.169492,0.0581484,0.0241416,0.107372,3824971050
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52734,2323,5843,5578,11846,11324,8312,6005,6283,4904,2685,1071,304,610,6,39,57,19,132,110,84,87,98,52,21,7,2555,30,189,243,122,534,499,376,370,344,203,82,25,0,0,0.00845666,0.00558659,0.00205761,0,0.0125448,0,0.0311419,0,0.00289855,0,0.00819672,0,0.00613497,0,0.047619,0.045045,0.00791687,0.0344828,0,0.00428266,0,0,0.00114548,0.00239234,0.00961538,0.0526316,0,0.025958,0.0031211,0,0.00218938,0.01,0.00422535,0.018544,0,0.00507614,0.00371978,0,0.00152207,0,0,0.0114943,0.00561798,0,0.00576369,0.00913242,0.017094,0.00373413,0.0104167,0.00909091,0.00184162,0.0309716,0.039604,0,0.0152091,0.0244304,0.00539811,0.013363,0.0184615,0,0.0666667,0.0208978,0.0076461,0.028169,0.0274841,0.0167598,0.0246914,0.0166667,0.0645161,0.025,0.119377,0.0163043,0.0318841,0.0130719,0.0421546,0,0.0306748,0.00161812,0.153439,0.165165,0.0484908,0.151724,0.0245098,0.0192719,0.00429185,0,0.0091638,0.00717703,0.0528846,0.157895,0,0.0754017,0.0187266,0.0784314,0.0131363,0.07,0.0169014,0.0831044,0.00468384,0.0304569,0.0216987,0.00553506,0.00913242,0.00746269,0.157895,0.0353669,0.0449438,0.0133333,0.0317003,0.0273973,0.0683761,0.0234005,0.0104167,0.0636364,0.00762957,0.108188,0.0940594,0.0135135,0.0342205,0.101899,0.0175439,0.0356347,0.0476923,0,0.25,0.0696594,0.0311305,0.118936,3824971050
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52174,2272,5676,5469,11490,11023,8614,5842,6121,4913,2771,1081,319,701,9,39,62,28,122,143,88,95,121,76,18,10,2906,48,191,273,154,552,640,397,426,399,233,76,29,0,0,0.00869565,0.00540541,0.00200803,0,0.0124334,0,0.0360206,0,0.00262467,0.00578035,0.0109489,0,0.00630517,0,0.0686275,0.0557276,0.00943865,0.0342466,0,0.0147368,0.00436681,0,0,0.00239808,0.00483092,0.0847458,0,0.0222772,0.00443881,0,0.00170164,0.0196078,0.00554017,0.0229196,0,0.00757576,0.00408805,0,0.0015949,0,0,0.0122485,0.00578035,0,0.0149701,0.012987,0.024,0.00277078,0.0102041,0.01,0.00214133,0.0330682,0.055,0,0.0149254,0.0289763,0.00559441,0.0199557,0.015625,0,0.0606061,0.0203125,0.00908059,0.0372671,0.0304348,0.0216216,0.0240964,0.016129,0.0674956,0.0294118,0.137221,0.0217391,0.023622,0.017341,0.0498783,0,0.0340479,0.00167224,0.210784,0.226006,0.0526577,0.164384,0.0289855,0.0336842,0.0131004,0,0.0102975,0.00719424,0.0628019,0.186441,0,0.0816832,0.0240964,0.0638298,0.0181509,0.0980392,0.0235457,0.090268,0.00861009,0.030303,0.0264151,0.00554529,0.00956938,0.00587084,0.15,0.0411199,0.0520231,0.011655,0.0419162,0.0411255,0.056,0.0259446,0.0204082,0.06,0.00936831,0.119297,0.105,0.0144928,0.0447761,0.11348,0.0195804,0.0687361,0.0734375,0,0.257576,0.0765625,0.0448354,0.119565,3824971050
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51681,2227,5558,5390,11243,10835,8848,5648,5931,4943,2801,1090,342,773,15,35,77,37,131,174,87,97,134,85,19,9,3277,61,204,306,172,598,768,429,475,437,280,88,30,0,0,0.0107759,0.00512821,0.00202429,0.0149254,0.0106195,0,0.0432526,0,0.00524934,0.00571429,0.0100883,0,0.00522193,0,0.0680628,0.065625,0.0135135,0.035461,0,0.0121704,0.00458716,0,0.00115075,0.00483092,0.0103627,0.0833333,0,0.0211706,0.00453956,0,0.00448934,0.0192308,0.00546448,0.0229144,0.00251256,0.0078534,0.00505051,0.000944287,0,0,0,0.0132042,0.00558659,0,0.0150602,0.0153173,0.0300752,0.00405063,0.0114943,0.019802,0.00300958,0.0339765,0.0679612,0,0.00746269,0.0323787,0.00578035,0.0192719,0.0112179,0,0.0857143,0.0212934,0.0136441,0.0378549,0.0301724,0.025641,0.0202429,0.0298507,0.0690265,0.0344828,0.136678,0.0170455,0.0262467,0.0228571,0.0479193,0,0.0391645,0.00512821,0.230366,0.284375,0.0595596,0.191489,0.0333333,0.0446247,0.0137615,0,0.00805524,0.0120773,0.0725389,0.208333,0,0.0834371,0.0291829,0.0425532,0.0252525,0.0961538,0.0300546,0.0963122,0.0125628,0.0314136,0.0315657,0.00661001,0.0114379,0.00392927,0.142857,0.0501761,0.0446927,0.0071599,0.0572289,0.0547046,0.0902256,0.0311392,0.0344828,0.0693069,0.0164159,0.132131,0.11165,0.015873,0.0410448,0.129257,0.0274566,0.0685225,0.0721154,0,0.285714,0.0922713,0.0528709,0.137224,3824971050
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51157,2179,5416,5311,10939,10598,9037,5516,5742,4949,2878,1129,369,916,16,38,82,41,142,209,123,116,160,95,22,8,3644,54,244,330,199,655,830,502,519,490,317,96,36,0,0,0.00842105,0.00505051,0.00219298,0.0298507,0.0146789,0,0.0537262,0,0.00966184,0.0060241,0.0136816,0,0.00534759,0.00496689,0.0846561,0.0870871,0.0132181,0.0347222,0.00471698,0.0159681,0.00425532,0,0.00117786,0.00487805,0.0107527,0.108108,0,0.0239596,0.0065189,0,0.00515759,0.0190476,0.00829876,0.0287482,0.00255102,0.00757576,0.00542092,0.00189934,0.00166667,0,0,0.0183888,0.00574713,0,0.0131148,0.0192308,0.0230769,0.00533401,0.0113636,0.0104167,0.00443336,0.0387234,0.0607477,0,0.011583,0.0393171,0.00591716,0.0235546,0.00490196,0,0.105263,0.0244101,0.0139292,0.0504202,0.0547368,0.0252525,0.0241228,0.0447761,0.0697248,0.0645161,0.166378,0.011976,0.0362319,0.0301205,0.0547264,0,0.0387701,0.00827815,0.280423,0.339339,0.0513472,0.201389,0.0424528,0.0578842,0.0297872,0,0.0117786,0.0268293,0.0537634,0.27027,0,0.075662,0.0338983,0.0106383,0.0332378,0.114286,0.0428769,0.103712,0.0153061,0.0328283,0.0373087,0.00664767,0.0133333,0.00386847,0.05,0.061296,0.0689655,0.0121359,0.0786885,0.0769231,0.0846154,0.0342901,0.0340909,0.0625,0.0224439,0.139574,0.107477,0.03125,0.0540541,0.145499,0.0325444,0.0770878,0.0686275,0,0.302632,0.108218,0.0603598,0.136134,3824971050
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.730405,0.000882994,0.000132688,S,0,26,50639,2224,5248,5232,10685,10355,9194,5408,5521,4956,2935,1207,378,1107,16,57,94,40,170,252,159,164,158,120,36,8,4122,61,258,375,207,723,935,575,611,528,374,123,46,36987,0,0.00835073,0,0.00212766,0.0491803,0.0109489,0,0.0677966,0,0.0117647,0,0.0191327,0,0.00704225,0.00679117,0.102564,0.112462,0.0159138,0.0551724,0.00460829,0.0206186,0.00423729,0,0.00117371,0.00735294,0.0118343,0.149254,0,0.0216867,0.00864362,0.0105263,0.00815851,0.00925926,0.0055325,0.035822,0.00531208,0.00738916,0.00825921,0.00288184,0,0.00189394,0,0.024957,0.00584795,0,0.0163399,0.0167866,0.0264901,0.00658728,0.0224719,0.019802,0.0059205,0.044225,0.0837696,0,0.017094,0.0488702,0.00609756,0.0263736,0.008,0,0.0933333,0.0267559,0.0169697,0.0633562,0.0584551,0.0151515,0.0297872,0.0819672,0.0529197,0.0540541,0.184746,0.0118343,0.0423529,0.0384615,0.0752551,0,0.0408451,0.0186757,0.317949,0.382979,0.0564682,0.248276,0.0414747,0.0680412,0.0381356,0,0.0140845,0.0343137,0.0828402,0.328358,0,0.0879518,0.0432181,0.0210526,0.0384615,0.0925926,0.0470263,0.115008,0.0212483,0.0418719,0.0406607,0.0115274,0.0167224,0.0094697,0.0384615,0.0774527,0.0584795,0.00925926,0.0947712,0.0935252,0.0794702,0.0385103,0.0561798,0.0693069,0.0312941,0.14985,0.13089,0.0655738,0.0811966,0.164214,0.0365854,0.0901099,0.0656,0,0.346667,0.123746,0.0757576,0.179795,3824971050
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.726703,0.000882994,0.000132688,S,0,26,50081,2162,5137,5102,10379,10151,9274,5353,5361,4933,2977,1258,395,278,3,7,25,5,44,76,30,39,45,30,7,2,2666,40,142,228,122,462,632,395,375,318,244,93,25,36394,0,0,0,0.00210084,0.0483871,0,0,0.0119863,0,0,0,0.00385109,0,0.00278164,0,0.0285714,0.03125,0.00260417,0.0135135,0.0045045,0.00616016,0,0,0,0.00248139,0.0131579,0.0519481,0,0.00728155,0.00199203,0,0.00179748,0,0.0027933,0.00798479,0.00135501,0,0.00192369,0.00095057,0,0,0,0.0101351,0,0,0,0.00473934,0.00598802,0.00202327,0.0337079,0,0.000884434,0.0108696,0.0552764,0.015873,0.00442478,0.0122536,0.00145773,0.00429185,0.00164745,0,0.0133333,0.00923594,0.00502513,0.00700525,0.0350515,0.00492611,0.0315126,0.0967742,0.0375235,0.0294118,0.128425,0.00574713,0.0257611,0.025641,0.0385109,0,0.0278164,0.0175131,0.217143,0.270833,0.0364583,0.128378,0.027027,0.0451745,0.0266667,0,0.011534,0.0272953,0.0855263,0.272727,0.00699301,0.0497573,0.0312085,0.010101,0.0257639,0.0344828,0.027933,0.0749049,0.0149051,0.0364964,0.0285348,0.0171103,0.010084,0.00785855,0,0.0574324,0.0318471,0.00242718,0.0505051,0.0450237,0.0538922,0.0235205,0.0561798,0.0571429,0.0227005,0.0926087,0.130653,0.031746,0.0530973,0.105354,0.0218659,0.055794,0.0395387,0,0.213333,0.0789253,0.0508794,0.115587,3824971050
1,2020,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,49532,2036,5115,4973,10123,9923,9253,5427,5197,4856,3038,1309,406,88,0,2,5,5,7,26,7,14,12,11,4,2,1562,22,81,129,64,249,372,245,226,187,149,58,12,0,0,0,0,0.00217391,0.02,0,0,0.00356506,0,0,0,0.0012837,0,0.00140647,0,0.0112994,0.00346021,0.000538503,0,0,0,0,0,0,0.00248756,0.00675676,0.0120482,0,0.00127714,0.00067981,0,0,0,0.00141443,0.00154739,0,0,0.000320924,0,0,0,0,0.00332502,0,0,0,0.0023753,0.00591716,0.000508647,0,0,0.000598982,0.00264784,0.0252525,0.0147059,0,0.00499527,0,0.00205761,0.00168634,0,0,0.00252951,0.000630517,0.00338983,0.0142566,0,0.0173913,0.08,0.0150943,0.0294118,0.083779,0,0.0141176,0.0192308,0.0308087,0,0.0168776,0.0142602,0.129944,0.16263,0.0199246,0.0743243,0.00862069,0.0242915,0.00438596,0.027027,0.00243902,0.0223881,0.0675676,0.108434,0,0.0306513,0.0163154,0,0.0161677,0.025641,0.0212164,0.0433269,0.0167131,0.0144578,0.0182927,0.00884086,0.008726,0.00207039,0,0.0382377,0.0117647,0.00477327,0.0126984,0.0213777,0.0295858,0.0139878,0.045977,0.0285714,0.0131776,0.0622242,0.0707071,0.0294118,0.027027,0.0619684,0.011994,0.0308642,0.0118044,0,0.12987,0.0430017,0.0315259,0.0644068,3824971050
1,2021,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.728676,0.000882994,0.000132688,S,0,26,48923,1931,5042,4881,9765,9744,9146,5618,5025,4799,3042,1353,431,106,0,3,7,7,10,31,8,15,16,11,5,3,1422,12,72,97,60,200,346,218,201,181,140,61,15,35649,0,0.00208333,0,0,0.02,0,0,0.00350877,0,0.00227273,0,0.00256739,0,0.0045045,0,0.0227273,0.00352113,0,0.00671141,0,0,0,0,0,0,0.00675676,0.0120482,0,0,0.00068918,0,0,0,0.00143885,0.0015873,0.00141844,0,0.000636943,0,0,0,0,0.00578035,0,0,0,0.00483092,0.00595238,0.000513084,0,0,0.000916031,0.00361174,0.0263158,0.0153846,0,0.00587432,0,0.00211864,0,0,0,0.00254237,0.00131579,0.0017452,0.0104167,0,0.0149254,0.06,0.0112994,0,0.077193,0,0.0159091,0.0127389,0.0256739,0,0.0195195,0.0144928,0.142045,0.147887,0.0181618,0.0805369,0.00884956,0.0240481,0,0,0.00362319,0.0205128,0.0608108,0.13253,0,0.026616,0.0158511,0,0.01418,0.0172414,0.0158273,0.0345238,0.0170213,0.015544,0.0130573,0.00885827,0.00680272,0.00206186,0,0.0396367,0.00628931,0.00505051,0.0185759,0.02657,0.0357143,0.0133402,0.0449438,0.0252101,0.0119084,0.0582393,0.0684211,0.0769231,0.0277778,0.0579235,0.0107198,0.0275424,0.00531915,0,0.126761,0.0389831,0.0328947,0.0575916,3824971050
1,2022,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,48319,1919,4902,4770,9355,9601,9007,5801,4850,4722,3171,1353,459,38,1,0,1,1,2,10,7,5,5,6,1,1,792,5,44,53,28,117,187,134,105,94,88,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00129199,0,0.00150602,0,0.00609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803536,0,0,0,0,0,0,0,0.00247525,0,0,0,0.00242718,0,0.000259471,0,0,0.000619387,0.00135135,0.0102041,0,0,0.00235653,0,0,0,0,0,0.0017138,0.00134318,0,0.00854701,0,0.0108932,0.0784314,0.0075188,0,0.0346084,0,0.0113895,0.00641026,0.0167959,0,0.0105422,0.00723327,0.0914634,0.0955882,0.00973654,0.0656934,0.00434783,0.0119522,0,0,0.00235849,0.00806452,0.0469799,0.0879121,0,0.00651042,0.00844476,0,0.00749532,0,0.0127479,0.0192849,0.00849858,0.00552486,0.0083898,0.00394089,0.003367,0,0,0.0231023,0,0.00242718,0.00607903,0.0194175,0.0170455,0.00830306,0.021978,0,0.00650356,0.0337838,0.0459184,0.0428571,0.00480769,0.0324369,0.0063593,0.0193133,0.00184502,0,0.0983607,0.02485,0.0161182,0.0248668,3824971050
1,2023,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,47680,1890,4758,4610,9036,9401,8727,6075,4691,4635,3212,1431,472,45,3,1,1,4,2,13,8,6,3,7,1,1,614,9,23,38,20,71,154,104,87,78,69,26,5,181,4403,0,0,0,0,0,0,0,0,0,0,0.0026178,0,0.00151976,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120627,0,0,0,0,0,0,0,0.00423012,0,0,0,0,0,0.00053749,0,0,0.000942211,0.00139018,0.010101,0,0,0.00262141,0,0.00223214,0,0,0,0.00176367,0.000675219,0,0.00638298,0,0.00453515,0.0612245,0.005386,0,0.0258303,0,0.00884956,0,0.0157068,0,0.00759878,0.00181159,0.075,0.0553506,0.00526932,0.0530303,0.00444444,0.00790514,0,0,0.00246002,0.00274725,0.0340136,0.0543478,0,0.00264201,0.00725163,0,0.00253646,0,0.00568182,0.0156815,0.00436681,0.00289855,0.00554288,0.00411946,0.00355872,0.00229885,0,0.0177665,0,0.00239234,0,0.00242131,0.0116279,0.00591239,0.0116279,0,0.00596734,0.0310473,0.0555556,0.0394737,0.0049505,0.0275938,0.00483871,0.015625,0.00197239,0,0.0675676,0.0202822,0.0128292,0.0208333,3824971050
