SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,254,9,26,23,24,43,37,48,41,32,18,11,0,1538,52,122,127,121,258,228,264,295,197,113,62,0,0,0,0.00404858,0.0164835,0.00381679,0,0.0242424,0,0.00309598,0.0185185,0.04,0.00588235,0.0108696,0,0.00233918,0.00162602,0.00892857,0,0.00337025,0,0.0376344,0,0.00381679,0.0227273,0.0142857,0.0161663,0,0.0638298,0.02,0.0120337,0.00115141,0,0.00052687,0.0265487,0.00138313,0.00156495,0.0224215,0,0,0.00338409,0.00143266,0.0127273,0,0.0035524,0,0.0235294,0.0075188,0.00225225,0,0.000252845,0.0133333,0.00847458,0.00505945,0.00571429,0,0,0.00334448,0,0,0,0,0,0,0.00138217,0.0234814,0.0046875,0.0303644,0.0274725,0.0248092,0.0588235,0.0848485,0,0.0123839,0.0864198,0.128,0.0176471,0.0630435,0,0.00935673,0.00162602,0.03125,0,0.0182956,0,0.155914,0,0.0343511,0.113636,0.0945055,0.0923788,0,0.106383,0.0666667,0.0806258,0.0132412,0.00925926,0.00316122,0.150442,0.0179806,0.0150235,0.137892,0.00446429,0.00254939,0.0313029,0.00429799,0.0381818,0,0.0364121,0.00609756,0.185882,0.0426065,0.0112613,0.0070922,0.000505689,0.02,0.0169492,0.0356691,0.0473469,0,0,0.0301003,0,0.00237812,0.00493827,0.00438596,0,0.0943396,0.0110574,0.14293,0.0203125,1379862552
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54051,2515,6146,6111,12648,12186,7276,6743,6730,4702,2452,1205,109,340,6,33,25,21,55,54,75,59,44,18,11,3,1505,59,106,129,101,235,234,273,283,199,115,57,8,0,0,0.00828157,0.0113636,0.00396825,0,0.0263692,0,0.00458015,0.0295858,0.0406504,0.0176471,0.0161464,0,0.00246305,0.0016129,0.0187793,0,0.00531401,0,0.0382514,0,0.00387597,0.0555556,0.0200893,0.0097561,0,0.0425532,0.0184049,0.019347,0.0029994,0,0.00105485,0.025,0.00138122,0.00190295,0.0265283,0,0,0.00605013,0.00145138,0.0148148,0,0.00259516,0,0.0289532,0.00497512,0.00224719,0,0.000251953,0.0196078,0,0.00583905,0.00815328,0,0,0.00682594,0.000251256,0.00122549,0,0,0,0,0.00212314,0.0387232,0.0105581,0.0310559,0.0227273,0.0257937,0.0576923,0.0892495,0,0.0152672,0.0828402,0.134146,0.0294118,0.0667384,0,0.00985222,0.00322581,0.0469484,0,0.0183575,0,0.153005,0.00222717,0.0387597,0.12963,0.0948661,0.0658537,0,0.106383,0.0490798,0.0798065,0.0143971,0.00925926,0.00421941,0.15,0.0151934,0.0136378,0.138408,0.00697674,0.00287173,0.0337079,0.00435414,0.0425926,0,0.033737,0.0060241,0.155902,0.0323383,0.011236,0,0.000755858,0.0261438,0.0169492,0.0337649,0.0456584,0,0,0.0273038,0.000376884,0.00245098,0.005,0.00444444,0,0.0925926,0.0106157,0.141287,0.0226244,1379862552
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53785,2435,6029,5900,12435,11959,7649,6464,6588,4810,2533,1142,205,370,3,33,31,18,72,60,67,65,47,26,12,3,1640,30,118,143,88,288,270,276,297,220,127,60,14,0,0,0.0087146,0.0102564,0.00195312,0,0.0298211,0,0.00470958,0.0340909,0.037037,0.0231214,0.0166113,0,0.00129534,0.00321027,0.0179372,0,0.00574163,0,0.0432432,0,0.00384615,0.0588235,0.0196078,0.00915332,0,0,0.0121951,0.0250284,0.00370599,0,0.000530786,0.025641,0.00137363,0.00262467,0.0317647,0,0.000625586,0.00508906,0.00145138,0.0135397,0,0.00343348,0,0.0379464,0.00253807,0.00680272,0,0.000249004,0.0130719,0,0.00666838,0.00771417,0,0,0.00677966,0.000639795,0.00246002,0,0,0,0,0.00221076,0.0408488,0.0124224,0.0348584,0.025641,0.0234375,0.04,0.0974155,0,0.021978,0.0852273,0.148148,0.0635838,0.0741971,0,0.0103627,0.00802568,0.0762332,0,0.0215311,0,0.167568,0.00217391,0.0461538,0.147059,0.0980392,0.0503432,0,0.0416667,0.054878,0.0932878,0.012971,0.011236,0.00318471,0.153846,0.0123626,0.0164042,0.145882,0.00712589,0.00406631,0.0322307,0.0101597,0.0522244,0,0.0266094,0.00617284,0.160714,0.0279188,0.0181406,0,0.00149402,0.0392157,0.0153846,0.0407797,0.045879,0,0,0.0372881,0.00191939,0.00492005,0.00259067,0.00595238,0,0.0392157,0.0132646,0.144828,0.0326087,1379862552
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53328,2382,5903,5677,12151,11618,8059,6268,6378,4910,2588,1095,261,412,2,32,27,14,71,82,68,70,52,35,16,4,1822,27,126,167,93,333,315,299,300,257,136,70,19,0,0,0.00886918,0.00510204,0,0,0.0271845,0,0.00473186,0.0289017,0.0323741,0.0233918,0.0187638,0,0.00125628,0.00325203,0.0225225,0,0.00635076,0,0.0756757,0,0.00790514,0.0784314,0.019802,0.00688073,0,0,0.0123457,0.0260476,0.00380228,0,0.00107124,0.0204082,0.00135135,0.00369499,0.0286738,0.00234192,0.000624805,0.00336417,0,0.0175097,0,0.00584795,0,0.0410367,0.00505051,0.00684932,0,0.000506073,0.0137931,0,0.00837916,0.00903491,0,0,0.00367647,0.00127681,0.00245399,0.00247525,0,0,0,0.00227618,0.0509413,0.0128617,0.037694,0.0204082,0.0181818,0.0454545,0.0970874,0,0.033123,0.0867052,0.154676,0.0760234,0.0883002,0,0.0125628,0.0146341,0.0900901,0,0.0268686,0,0.205405,0.00666667,0.0513834,0.235294,0.110011,0.0321101,0,0.0784314,0.0617284,0.0996602,0.0126743,0.010989,0.00589181,0.163265,0.00810811,0.0204904,0.152927,0.00936768,0.00406123,0.0336417,0.0134529,0.0719844,0,0.0242272,0.0164835,0.166307,0.0252525,0.0319635,0,0.00303644,0.062069,0.0162602,0.0439906,0.0468172,0,0,0.0183824,0.00331971,0.00858896,0.00742574,0.00763359,0,0.0392157,0.0144158,0.172757,0.0466238,1379862552
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52932,2310,5781,5552,11898,11313,8430,6062,6201,4968,2653,1087,320,466,5,32,38,17,77,113,80,63,69,31,13,3,2049,26,126,198,92,370,404,323,311,304,151,73,21,0,0,0.0131004,0.00505051,0.00203666,0,0.0243408,0,0.00628931,0.0346821,0.0401338,0.027027,0.0200222,0,0.00258065,0.00489396,0.0324074,0,0.00596421,0,0.0869565,0.00221239,0.00826446,0.132075,0.0275634,0.0045045,0,0,0.0197368,0.0296804,0.00195059,0,0.00108992,0.00990099,0.0013624,0.00407194,0.0377588,0.00251256,0.000922226,0.00336134,0,0.0233463,0,0.00736498,0,0.0338266,0.00526316,0.0153846,0,0.00127033,0.00740741,0,0.00877893,0.0106557,0,0,0.003663,0.00153453,0.00246609,0.00249377,0,0,0,0.00379363,0.0542237,0.0174603,0.0502183,0.020202,0.0203666,0.0217391,0.0973631,0,0.0314465,0.104046,0.153846,0.101351,0.104561,0,0.0180645,0.0179445,0.143519,0,0.0347913,0.0181818,0.228261,0.0132743,0.053719,0.283019,0.117971,0.0315315,0,0.0740741,0.0789474,0.111872,0.0149545,0.0108696,0.00926431,0.128713,0.0108992,0.0240923,0.168088,0.00502513,0.00614817,0.0310924,0.0139319,0.0836576,0,0.0278232,0.0169492,0.173362,0.0315789,0.0373626,0,0.00558943,0.0592593,0.0165289,0.0508114,0.047541,0,0,0.018315,0.00677749,0.0110974,0.0074813,0.00930233,0,0.0384615,0.0174507,0.184932,0.0587302,1379862552
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52394,2276,5625,5470,11569,10970,8735,5906,6061,4972,2735,1082,364,529,5,27,52,18,87,118,92,70,81,42,17,4,2277,26,154,214,115,414,456,355,333,323,183,73,25,0,0,0.0117925,0,0.004,0,0.0321932,0,0.00457317,0.0245399,0.0334448,0.0272109,0.0248307,0,0.00405954,0.00162866,0.044335,0.00294118,0.00646445,0.00892857,0.0985222,0.00431965,0.016129,0.153846,0.0356347,0.00487805,0,0,0.0184049,0.0315789,0.00198151,0.010101,0.00164024,0.010101,0.00139082,0.00491573,0.0409639,0,0.00123993,0.00511073,0.0015361,0.028866,0,0.0117351,0,0.0444915,0.0052356,0.0227743,0,0.00180319,0.00740741,0,0.0089141,0.00997921,0,0,0.00390625,0.00217698,0.00126422,0.00510204,0,0,0,0.00305111,0.0614237,0.0162338,0.0566038,0.0289855,0.016,0.0212766,0.0965795,0,0.0335366,0.116564,0.170569,0.136054,0.116253,0,0.0243572,0.0162866,0.172414,0.00882353,0.041273,0.0178571,0.246305,0.0194384,0.0725806,0.326923,0.123608,0.0365854,0.00462963,0.0701754,0.0736196,0.118129,0.0184941,0.020202,0.0120284,0.151515,0.0125174,0.025632,0.180723,0.0027027,0.00898946,0.0357751,0.0138249,0.103093,0,0.0360436,0.0223464,0.17161,0.0235602,0.0414079,0,0.00721278,0.0740741,0,0.0518639,0.0465696,0,0,0.015625,0.0108849,0.0189633,0.00765306,0.00768049,0,0.0555556,0.0244088,0.211251,0.0681818,1379862552
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51833,2226,5501,5406,11261,10770,8944,5726,5905,4921,2817,1094,395,581,8,25,59,29,95,126,93,78,90,47,18,5,2500,35,148,236,122,455,532,374,377,337,199,73,31,0,0,0.00477327,0,0.00413223,0,0.0362173,0,0.0032,0.025,0.0301003,0.0342466,0.0198366,0,0.00556328,0.00157978,0.0338164,0.00568182,0.00605449,0.00833333,0.114583,0.00647948,0.0288066,0.133333,0.0393258,0.00970874,0,0,0.0125786,0.0400471,0.0013369,0.00934579,0.00278396,0.029703,0.002849,0.00602837,0.0489335,0,0.00124922,0.00343643,0.00456621,0.0354906,0,0.0131363,0,0.0460251,0.00539084,0.022541,0,0.00182768,0.00740741,0,0.0104799,0.0096517,0,0,0.00790514,0.00219752,0.00127714,0.00530504,0,0,0,0.002331,0.0726744,0.0253378,0.0572792,0.025641,0.0227273,0.0175439,0.124748,0,0.032,0.1375,0.167224,0.143836,0.12252,0,0.0278164,0.0205371,0.169082,0.0198864,0.0459132,0.025,0.286458,0.0215983,0.090535,0.244444,0.132584,0.0364078,0.00485437,0.0677966,0.0566038,0.117786,0.0187166,0.0280374,0.0144766,0.168317,0.0213675,0.0304965,0.188206,0.00550964,0.00999375,0.0386598,0.0182648,0.131524,0,0.0426929,0.0157895,0.194561,0.0215633,0.0594262,0,0.00966057,0.0740741,0,0.0526751,0.0503567,0,0,0.0316206,0.0142192,0.0191571,0.0106101,0.00458015,0,0.0175439,0.027972,0.243605,0.0793919,1379862552
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51333,2193,5373,5314,11027,10547,9117,5623,5708,4910,2886,1109,406,692,8,33,68,30,123,146,115,86,97,62,24,9,2713,37,158,268,145,485,606,391,403,335,241,73,34,0,0,0.00248139,0.00518135,0.004158,0,0.0449219,0,0.00494234,0.0318471,0.0246914,0.0266667,0.0235571,0,0.00560224,0.00320513,0.039604,0.0126183,0.00627615,0.0166667,0.111111,0.00840336,0.037037,0.152174,0.0488636,0.00982801,0,0,0,0.0463734,0.00134862,0.00990099,0.00115009,0.019802,0.00142248,0.00647249,0.0645995,0,0.00155812,0.0035057,0.00303951,0.0462555,0,0.0159798,0,0.0556745,0.00522193,0.0123711,0,0.0023511,0.00714286,0,0.0159635,0.008,0,0,0.00772201,0.00360871,0.00126422,0.00549451,0,0,0,0.00389105,0.0955189,0.033557,0.0521092,0.0207254,0.02079,0,0.128906,0,0.0280066,0.171975,0.160494,0.153333,0.126031,0,0.0308123,0.025641,0.19802,0.0473186,0.0502092,0.0333333,0.291005,0.0357143,0.0987654,0.26087,0.144318,0.036855,0.00549451,0.0344828,0.05625,0.134364,0.019555,0.029703,0.0172513,0.118812,0.0241821,0.0338008,0.217054,0,0.0105952,0.0376862,0.0136778,0.147577,0,0.0420521,0.0207254,0.199143,0.0208877,0.0556701,0,0.0128004,0.0928571,0,0.0610034,0.0496842,0,0,0.034749,0.0177858,0.0290771,0.010989,0.00470219,0,0.0344828,0.0311284,0.274764,0.0855705,1379862552
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0.729021,0.000882994,0.000132688,S,0,26,50790,2287,5265,5205,10754,10371,9264,5450,5595,4913,2895,1130,418,817,11,33,80,32,144,183,126,97,123,79,27,6,2927,56,173,264,162,522,681,404,436,360,246,81,35,37027,0,0,0.00534759,0.00209644,0,0.0494071,0,0.00834725,0.0479042,0.0202899,0.0140845,0.0302297,0,0.00562588,0.00317965,0.0561224,0.0191693,0.00852878,0.0162602,0.120219,0.0131291,0.0534979,0.166667,0.0607102,0.0101266,0,0,0,0.0516827,0.00278552,0.010101,0.00114482,0.037037,0.00289017,0.00719683,0.0813793,0,0.00249922,0.00622222,0.00297177,0.0549451,0,0.0155993,0,0.0783898,0.00515464,0.0125786,0,0.00290851,0,0,0.0176236,0.00904782,0,0,0.011236,0.00429576,0.00130548,0.00568182,0,0,0,0.00485044,0.119532,0.0386555,0.0519802,0.0213904,0.0251572,0,0.146245,0,0.0217028,0.191617,0.150725,0.126761,0.125756,0,0.0351617,0.0286169,0.19898,0.0638978,0.054371,0.0569106,0.338798,0.0459519,0.102881,0.285714,0.155785,0.0278481,0.0052356,0.0357143,0.0493827,0.147837,0.0215877,0.040404,0.0188895,0.12037,0.0231214,0.0385031,0.253793,0,0.0115589,0.0302222,0.0148588,0.164835,0,0.047619,0.021978,0.211864,0.0257732,0.0545073,0,0.0179799,0.1,0,0.0667993,0.0504093,0.00526316,0,0.0524345,0.0230409,0.0274151,0.0227273,0.00488599,0,0.0172414,0.0355699,0.298829,0.092437,1379862552
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0.730906,0.000882994,0.000132688,S,0,26,50224,2186,5196,5107,10445,10198,9382,5357,5423,4850,2969,1179,421,223,3,7,15,7,31,50,41,32,34,20,6,2,1920,32,106,160,103,335,466,270,284,232,155,56,19,36709,0,0,0,0,0,0.00994036,0,0,0.00584795,0.00597015,0.0070922,0.01,0,0.00581395,0,0.00970874,0,0.00165563,0.00793651,0.0348837,0.00445434,0.00826446,0.0444444,0.0150637,0.00512821,0,0,0,0.0247219,0,0,0.000573066,0.0212766,0.00141443,0.00145349,0.0169252,0,0,0.000908265,0,0.0137931,0,0,0,0.0213675,0,0.00426439,0,0.000801282,0,0,0.00585309,0.00385935,0,0,0.00387597,0.0011794,0,0.00287356,0,0,0,0.00158983,0.0372902,0.00860585,0.0313316,0.015873,0.0210084,0,0.0994036,0,0.00977199,0.116959,0.0776119,0.0780142,0.06375,0,0.0247093,0.0153846,0.11165,0.0392157,0.0309051,0.0555556,0.238372,0.0467706,0.0826446,0.133333,0.105446,0.0230769,0.00518135,0,0.00621118,0.105068,0.00985222,0.02,0.0131805,0.0638298,0.0169731,0.0294331,0.159379,0,0.0108594,0.0154405,0.00742942,0.133333,0,0.0311475,0.0108108,0.151709,0.0124688,0.0511727,0.00641026,0.0117521,0.057971,0,0.04741,0.0330189,0.00543478,0,0.0193798,0.01756,0.0133869,0.00862069,0.00172117,0,0,0.0190779,0.200124,0.0567986,1379862552
1,2020,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,49654,2043,5194,4943,10135,9948,9426,5340,5255,4847,3033,1248,422,51,1,2,3,2,6,15,8,8,7,4,1,0,1093,11,59,84,52,171,292,155,156,127,93,36,11,0,0,0,0,0,0,0.00201613,0,0,0.00571429,0.00308642,0.0138889,0.00252207,0,0.00146843,0,0,0,0,0,0.00613497,0,0.00454545,0,0.0022779,0,0,0,0,0.00501253,0,0,0,0.010989,0,0,0.00288184,0,0,0,0,0.00488998,0,0,0,0.00883002,0,0,0,0.000534474,0,0,0.00205822,0.0017301,0,0,0,0,0,0,0,0,0,0.000807103,0.00644745,0.00338983,0.0105541,0.010582,0.010846,0,0.0544355,0,0.00963082,0.0628571,0.0339506,0.0416667,0.0290038,0,0.020558,0.00773994,0.0540541,0.0264026,0.017192,0.0307692,0.122699,0.0197368,0.0590909,0.0681818,0.0671982,0.00738916,0,0,0.00588235,0.0614035,0.00351617,0.0204082,0.00640279,0.0659341,0.0161054,0.0163508,0.102305,0,0.0053934,0.00835655,0.00729927,0.0831296,0.0454545,0.017785,0.00552486,0.10596,0.0100756,0.0321199,0,0.0080171,0.0294118,0,0.0296971,0.0168685,0.00502513,0,0.0152672,0.00858426,0.00134409,0.0111732,0.0018018,0,0,0.00968523,0.116699,0.0355932,1379862552
1,2021,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0.727204,0.000882994,0.000132688,S,0,26,49044,1967,5052,4851,9784,9765,9293,5503,5082,4814,3062,1304,437,60,2,1,5,3,8,17,6,10,9,5,2,0,959,13,45,70,36,138,258,135,150,112,91,30,9,35665,0,0,0,0,0,0,0,0,0.00595238,0.00268817,0.020979,0.00126743,0,0.00157729,0,0,0,0,0,0.00558659,0,0.00478469,0,0.00355872,0,0,0,0,0.00722892,0,0,0,0,0,0,0.00287356,0,0.000318167,0,0,0.00753769,0,0,0,0.00683371,0,0,0,0.000810154,0,0,0.00239593,0.00177305,0,0,0,0.000268637,0,0,0,0,0,0.00164474,0.00722259,0.00487013,0.0102564,0.00518135,0.00945626,0,0.0566038,0.0166667,0.00644122,0.047619,0.0295699,0.041958,0.0240811,0,0.0189274,0.00736377,0.0538922,0.0192308,0.0138809,0.00793651,0.117318,0.020316,0.0287081,0.0638298,0.059312,0.00510204,0,0,0.00571429,0.0506024,0.00361533,0.0412371,0.00573723,0.0705882,0.0134128,0.0165227,0.0876437,0,0.00636335,0.0047081,0.00735294,0.080402,0,0.00986842,0.00540541,0.0797267,0.0102302,0.0193966,0,0.00675128,0.0327869,0,0.0275532,0.0177305,0.00555556,0,0.00793651,0.0080591,0.00417246,0.00588235,0.00184843,0,0,0.00986842,0.106369,0.0275974,1379862552
1,2022,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,48475,1849,4958,4761,9403,9639,9085,5779,4876,4770,3125,1343,455,19,0,0,0,0,1,8,3,2,3,1,1,0,526,5,25,35,17,78,143,76,71,70,54,13,4,0,0,0,0,0,0,0,0,0,0,0,0.0134228,0.001321,0,0,0,0,0,0,0,0.00546448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231481,0,0,0,0.000827586,0,0,0.000305344,0.000895656,0,0,0,0.000135135,0,0,0,0,0,0.000840336,0.00334896,0.00159744,0.00245098,0,0.00481928,0,0.0298507,0,0.00331126,0.0352941,0.0162162,0.0201342,0.014531,0,0.0110236,0.00459418,0.0314465,0.00645161,0.00806916,0,0.0491803,0.0135135,0.0151515,0,0.0245614,0,0,0,0.00558659,0.0335731,0.00219138,0.0102041,0.00292056,0.060241,0.00619195,0.0073501,0.0355114,0,0.00481232,0.003996,0.00308642,0.0330789,0,0.00324149,0,0.0486111,0.00771208,0.0115207,0,0.00413793,0.0247934,0,0.0167939,0.0111957,0.00529101,0,0.00387597,0.00405405,0.00142653,0.0028169,0,0,0,0.00672269,0.0683188,0.0175719,1379862552
1,2023,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,47875,1852,4810,4656,9047,9423,8837,6142,4713,4669,3185,1400,459,21,0,0,0,0,1,10,3,2,2,2,1,0,388,3,17,26,12,50,107,63,53,55,34,12,2,0,0,0,0,0,0,0,0,0,0,0,0.0202703,0,0,0,0,0,0,0,0,0,0.00225734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045977,0,0,0,0.00082713,0,0,0.000313381,0.000887705,0,0,0,0.000273224,0,0,0,0,0,0,0.00416667,0.00166945,0,0,0.00246305,0,0.0199115,0,0.00169492,0.0273224,0.00980392,0.027027,0.00939597,0,0.00786164,0,0.0243902,0.00337838,0.00516944,0,0.0331754,0.013544,0.0191388,0,0.0201661,0,0,0,0,0.0295203,0.00147275,0.0106383,0.00118064,0.045977,0.0015528,0.00582298,0.0162722,0,0.00228162,0.001,0.00319489,0.0265957,0,0.0025641,0,0.0413793,0.00260417,0.00884956,0,0.00413565,0,0,0.0125353,0.00932091,0,0,0,0.00368852,0,0,0,0,0,0.00511945,0.05625,0.0133556,1379862552
1,2024,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,N,C,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,47319,1827,4612,4564,8742,9221,8623,6386,4572,4567,3248,1480,480,31,0,0,2,0,2,9,7,3,5,3,2,0,248,4,4,20,6,31,53,48,40,34,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0.033557,0,0,0,0,0,0,0,0,0,0.00220751,0.00995025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070922,0,0,0,0.000833797,0,0,0.000635526,0.000896861,0,0,0,0.000412201,0,0,0,0,0,0,0.00568182,0.00338983,0,0,0.00238095,0,0.00852878,0,0,0.0232558,0.005,0.033557,0.00403226,0,0.00162338,0,0.00595238,0.00352113,0.00057971,0,0.0180995,0.013245,0.0248756,0,0.0120192,0,0,0,0,0.0162907,0.000752445,0.0104167,0,0.030303,0.00151286,0.00233281,0.00637959,0.00309598,0.00167224,0.00100503,0.00161551,0.0144928,0,0,0,0.0165485,0,0.00446429,0,0.00361312,0,0,0.00762631,0.00986547,0,0,0,0.00302281,0,0,0.00191205,0,0,0.00434783,0.037642,0.0152542,1379862552
