SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,233,13,19,18,27,39,37,39,35,34,16,6,0,1554,52,124,112,151,227,269,269,273,214,105,46,0,0,0,0.01417,0,0.00572519,0,0.010101,0.0185185,0.00154799,0,0,0,0.00108696,0,0.00467836,0.00813008,0,0.00278552,0.00481464,0,0,0,0.00381679,0,0,0,0,0.0212766,0,0.0156438,0.000575705,0,0.00632244,0,0.0318119,0.00782473,0.00784753,0,0,0.0143824,0.025788,0.0454545,0,0.000888099,0,0,0,0.0202703,0.0070922,0.00126422,0,0,0.00404756,0.00204082,0,0,0.00334448,0.000755192,0,0.00740741,0,0,0,0.00207326,0.00102093,0,0.0425101,0.021978,0.019084,0,0.040404,0.0925926,0.00464396,0,0.012,0.0470588,0.00326087,0,0.0222222,0.0357724,0.0223214,0.00835655,0.0442947,0.0265487,0.00537634,0.00229358,0.0305344,0,0.0010989,0,0,0.0212766,0.00666667,0.128761,0.00518135,0,0.0379347,0,0.208852,0.0431925,0.073991,0.00446429,0.000637349,0.0922166,0.226361,0.287273,0,0.0079929,0,0.00235294,0,0.11036,0.0070922,0.0144121,0,0.0254237,0.027574,0.0138776,0.015544,0,0.00334448,0.00427942,0.00118906,0.0271605,0.00292398,0,0,0.0124395,0.00765697,0,3979671348
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53978,2530,6155,6095,12638,12136,7347,6718,6718,4699,2443,1181,98,315,16,27,25,28,49,50,62,55,44,20,7,0,1547,69,125,115,120,229,280,270,273,220,110,42,3,0,0,0.014862,0,0.00801603,0,0.0144928,0.0192308,0.00308642,0,0,0,0.00108696,0,0.00595238,0.0141956,0,0.00273973,0.00696517,0,0,0,0,0,0,0,0,0.0212766,0,0.0250298,0.00116959,0,0.00780843,0,0.0369318,0.00836551,0.0102857,0,0,0.0188004,0.0347222,0.06,0,0.00177778,0,0,0.00263158,0.0244444,0,0.00251193,0.0131579,0,0.00769823,0.00454733,0,0,0.00671141,0.000877083,0.00121212,0.004914,0,0,0,0.00288809,0.00102669,0,0.0403397,0.0209424,0.0200401,0,0.0372671,0.0961538,0.00617284,0,0.0150376,0.0404624,0.00217391,0,0.025,0.0425868,0.0177778,0.00821918,0.0422886,0.0265487,0.00469484,0,0.031746,0,0.00108342,0,0,0.0425532,0.00662252,0.131108,0.00526316,0,0.038001,0,0.198864,0.042471,0.0674286,0.00443459,0.000954502,0.0922113,0.209722,0.283636,0,0.0106667,0,0,0.00526316,0.104444,0.00719424,0.0150716,0.0131579,0.0305344,0.0300231,0.0169492,0.0148515,0,0.00671141,0.0051372,0.00242424,0.02457,0.00294551,0,0,0.0129964,0.00821355,0,3979671348
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53659,2461,6062,5893,12409,11919,7683,6459,6567,4765,2537,1123,197,373,9,31,37,23,58,65,75,62,52,26,10,2,1677,50,136,149,115,276,281,289,301,226,133,49,7,0,0,0.0164948,0,0.00967118,0,0.0202429,0.0384615,0.0030581,0,0,0,0.00113895,0,0.00479616,0.0125,0,0.00290698,0.00857287,0,0,0,0.00380228,0,0,0,0,0.0196078,0,0.0379147,0.00120048,0,0.00879007,0,0.0443213,0.0115321,0.00810185,0,0,0.0213333,0.0391608,0.0801527,0,0.00175439,0,0.002331,0.00503778,0.0266075,0,0.00276382,0.0145985,0,0.00815146,0.00454921,0,0.0120482,0.0137931,0.00075748,0.00125,0.00737101,0,0,0,0.00214439,0.00207577,0,0.0515464,0.0209424,0.0290135,0,0.0546559,0.115385,0.00611621,0.00571429,0.0143885,0.0290698,0.00455581,0,0.0311751,0.0484375,0.0186916,0.00581395,0.0398386,0.0280374,0.00869565,0,0.026616,0,0.00108814,0.00258398,0,0.137255,0.00645161,0.13981,0.0060024,0,0.0449845,0,0.193906,0.045799,0.0706019,0.0118203,0.00125156,0.103111,0.187413,0.307252,0,0.0114035,0,0.004662,0.0100756,0.126386,0.00735294,0.0158291,0.0510949,0.0314961,0.0333947,0.0177833,0.0153061,0.0361446,0.0137931,0.00694357,0.005,0.027027,0.00148148,0,0,0.0150107,0.008822,0.00498339,3979671348
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53180,2374,5898,5671,12032,11593,8077,6227,6411,4820,2655,1099,266,436,2,39,49,21,90,64,77,68,65,38,11,2,1815,27,154,173,102,354,298,300,300,248,153,51,9,0,0,0.0162933,0,0.00782779,0,0.0181087,0.0357143,0.00316957,0,0.00352113,0,0.00116279,0,0.00610501,0.0153374,0.00934579,0.00890208,0.00762195,0,0,0.00230947,0,0,0,0,0,0.0188679,0,0.039627,0.00126183,0,0.0100636,0,0.0548341,0.0150788,0.0106888,0,0,0.0267857,0.0512091,0.0872093,0,0.000864304,0,0.00445434,0.00791557,0.030303,0,0.00349476,0.0147059,0,0.0106952,0.00499584,0.0102564,0.0291262,0.0133779,0.000882947,0.0012987,0.00773196,0.00147929,0,0,0.00215363,0.00210637,0,0.0570265,0.0102041,0.035225,0,0.0684105,0.142857,0.00792393,0.00571429,0.0211268,0.0175439,0.00465116,0,0.031746,0.0582822,0.0233645,0.00890208,0.0386179,0.0315789,0,0.00230947,0.0212766,0,0.0021978,0.00263158,0,0.207547,0.00666667,0.146853,0.00630915,0,0.0503178,0,0.191919,0.0517478,0.0688836,0.0117371,0.00247448,0.108036,0.187767,0.335271,0,0.011236,0,0.00890869,0.0184697,0.114219,0.0070922,0.0192212,0.0661765,0.0310078,0.0406417,0.0212323,0.0307692,0.0485437,0.0334448,0.00882947,0.00779221,0.0283505,0.00295858,0,0,0.0157933,0.0110585,0.00343053,3979671348
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52727,2315,5775,5572,11766,11280,8440,6031,6246,4860,2704,1081,319,522,2,42,56,14,114,68,100,82,82,43,17,2,2012,21,155,220,103,423,339,304,326,280,168,59,10,0,0,0.0226804,0,0.00785855,0,0.0181087,0.0344828,0.0031348,0,0.00327869,0,0,0,0.00995025,0.016692,0.0199005,0.00952381,0.00976362,0,0,0.00696056,0.00423729,0,0,0.00268097,0,0.02,0,0.0450867,0.00130124,0,0.0145005,0,0.0560345,0.0168776,0.0123916,0,0.00186278,0.0352941,0.0568182,0.104247,0,0.00264317,0,0.00854701,0.0104439,0.0348259,0,0.00374532,0.03125,0.00746269,0.0125467,0.005352,0.01,0.0309278,0.0174825,0.00100997,0.00134228,0.0121655,0.00308166,0,0,0.00145666,0.00273373,0,0.0680412,0.00520833,0.0412574,0,0.0885312,0.155172,0.00783699,0.00591716,0.0163934,0.011236,0.00361446,0,0.0410448,0.0591806,0.0348259,0.0190476,0.0426516,0.0416667,0,0.0139211,0.0127119,0,0.00647948,0.00536193,0,0.3,0.00699301,0.153757,0.00780742,0,0.0590763,0,0.186782,0.0615331,0.0681537,0.0142518,0.0074511,0.111312,0.184659,0.335907,0,0.0132159,0,0.0106838,0.0234987,0.124378,0.00714286,0.0214732,0.078125,0.0298507,0.0475174,0.0230548,0.02,0.0515464,0.048951,0.0113622,0.0107383,0.0437956,0.0046225,0.0196078,0,0.0182083,0.0147622,0.00357143,3979671348
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52151,2268,5638,5451,11382,10960,8763,5855,6047,4930,2781,1084,349,635,2,44,58,20,127,88,113,98,86,69,27,7,2307,24,155,238,104,482,429,345,358,304,192,76,17,0,0,0.0260521,0,0.00803213,0,0.0135922,0.0508475,0.00463679,0.0118343,0.00970874,0,0.00246002,0,0.0150188,0.01875,0.020202,0.00914634,0.00922604,0,0,0.0110619,0.0127119,0,0.00221976,0.00540541,0,0.0612245,0,0.0538012,0.0013468,0,0.0173724,0,0.0694645,0.0199643,0.0139064,0.0023753,0.00221099,0.0476627,0.0527859,0.152047,0,0.00350877,0,0.00847458,0.00310559,0.0381679,0,0.00551102,0.05,0,0.0137838,0.00622924,0.00990099,0.03,0.0207612,0.00242038,0.00136986,0.0195122,0.00311526,0,0,0.000750188,0.00277778,0,0.0821643,0,0.0522088,0,0.0932039,0.135593,0.0123648,0.0177515,0.0355987,0.00561798,0.0110701,0,0.0513141,0.065625,0.0353535,0.027439,0.0492055,0.027027,0.00389105,0.0265487,0.0254237,0,0.0099889,0.0108108,0,0.387755,0,0.166082,0.00808081,0.0117647,0.0798046,0.00934579,0.204052,0.0720143,0.0707965,0.0166271,0.0142135,0.120073,0.170088,0.346979,0,0.0166667,0,0.0190678,0.0403727,0.129771,0.0144928,0.0253006,0.133333,0.0152672,0.0564865,0.0290698,0.029703,0.05,0.0761246,0.0138854,0.0123288,0.0414634,0.0046729,0.025,0,0.0172543,0.0172222,0.0110906,3979671348
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51690,2197,5466,5329,11117,10688,9010,5682,5913,4886,2914,1107,373,708,1,47,57,21,138,115,114,93,109,72,37,9,2648,34,173,247,128,532,549,396,368,354,208,87,26,0,0,0.0269151,0,0.00833333,0,0.0154143,0.0655738,0.00151745,0.00606061,0.0128617,0,0.00260417,0,0.0146082,0.0207006,0.0276243,0.0164474,0.00863382,0,0,0.0111607,0.0123457,0,0.00338983,0.00539084,0,0.1,0,0.0611046,0.00140154,0,0.0215589,0.00917431,0.0915493,0.019795,0.017744,0.00246305,0.00218409,0.0513977,0.0610119,0.171875,0,0.00432152,0,0.00632911,0.00324675,0.0456853,0,0.00640369,0.0707965,0,0.0141689,0.00585529,0.015,0.0208333,0.0172414,0.00296163,0.00141844,0.0221675,0.00312989,0,0,0.00078064,0.00338792,0.00183824,0.0931677,0,0.05625,0,0.105973,0.131148,0.0136571,0.0242424,0.0418006,0,0.0130208,0,0.0690571,0.0684713,0.0607735,0.0493421,0.0578974,0.018018,0.00732601,0.0379464,0.0329218,0.0238095,0.0101695,0.0107817,0,0.4,0,0.189189,0.0126139,0.0108696,0.0845771,0.00917431,0.222535,0.0756451,0.0798479,0.0147783,0.0187207,0.141569,0.181548,0.386719,0,0.0164218,0,0.0232068,0.038961,0.159898,0.0191083,0.0325307,0.185841,0.0373134,0.0648501,0.0322041,0.03,0.0520833,0.1,0.0182848,0.0170213,0.0541872,0.0109546,0.025,0,0.0202966,0.0197628,0.0110294,3979671348
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51098,2180,5352,5247,10829,10479,9141,5586,5702,4874,2951,1136,400,825,11,46,66,34,136,158,120,124,116,86,42,9,2912,52,181,274,146,554,631,429,417,377,229,102,27,0,0,0.0266393,0,0.0102669,0,0.0230326,0.0833333,0.00144928,0.00598802,0.0121951,0,0.00393701,0,0.0162822,0.0272,0.0344828,0.0162338,0.00931677,0,0,0.011236,0.017094,0,0.00685714,0.008,0,0.163265,0,0.0673887,0.00143575,0.011236,0.022409,0.00900901,0.116046,0.0223908,0.0234681,0.00247525,0.00313578,0.0522052,0.0637037,0.217923,0,0.00588235,0,0.00808081,0.00355872,0.0629723,0,0.0069912,0.102804,0,0.0176406,0.00640205,0.015544,0.0204082,0.0101695,0.00405494,0.0042735,0.0195599,0.0016129,0,0,0.00241741,0.00468658,0.00183486,0.104508,0,0.0677618,0,0.113244,0.133333,0.015942,0.0359281,0.0457317,0,0.0104987,0,0.0759837,0.0704,0.0632184,0.0649351,0.0590062,0.0173913,0.0070922,0.047191,0.0555556,0.0217391,0.0148571,0.0186667,0,0.367347,0,0.187726,0.0122039,0.0337079,0.0879552,0.00900901,0.255014,0.0881185,0.0886571,0.0173267,0.0219505,0.162016,0.191111,0.448065,0,0.0184874,0,0.0282828,0.0320285,0.166247,0.00636943,0.0354738,0.28972,0.0241935,0.0749724,0.0367051,0.0414508,0.0408163,0.105085,0.0214519,0.025641,0.0562347,0.00806452,0.0243902,0,0.0185334,0.0251904,0.0146789,3979671348
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.729011,0.000882994,0.000132688,S,0,26,50563,2211,5245,5141,10526,10284,9304,5443,5566,4875,2961,1199,405,930,15,47,67,32,146,195,124,144,128,97,52,12,3156,60,181,296,167,574,726,427,451,402,255,125,29,36861,0,0.0238569,0,0.00613497,0.0384615,0.0219561,0.125,0.00307692,0.00578035,0.0158228,0,0.00398936,0,0.0168303,0.028754,0.0393258,0.0162866,0.0107009,0.00840336,0,0.0134529,0.0127119,0,0.00923788,0.00813008,0,0.152174,0,0.0647131,0.000738552,0.0114943,0.0259525,0.018018,0.134307,0.0254237,0.0287671,0.00240964,0.00344936,0.0578358,0.0739065,0.284483,0,0.0084674,0.00625,0.00609756,0,0.0620525,0,0.00740741,0.12037,0,0.0227079,0.00716091,0.0147783,0.0104167,0.0136519,0.00522125,0.00577201,0.0174129,0.00333333,0,0,0.00322841,0.00477612,0.00364299,0.111332,0,0.0572597,0.0769231,0.121756,0.178571,0.0215385,0.0346821,0.0443038,0,0.0119681,0,0.0897616,0.0702875,0.0617978,0.0684039,0.05832,0.0252101,0.0107527,0.058296,0.0550847,0.0208333,0.0277136,0.0352304,0,0.391304,0,0.203907,0.0118168,0.045977,0.0977361,0.018018,0.270073,0.0965365,0.0808219,0.0120482,0.0266541,0.164179,0.205128,0.512931,0,0.0220152,0.0125,0.0284553,0.0277778,0.183771,0,0.0404762,0.314815,0.0162602,0.0865739,0.0395956,0.044335,0.03125,0.109215,0.0255841,0.027417,0.0721393,0.015,0.0416667,0,0.0161421,0.0274627,0.0218579,3979671348
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730703,0.000882994,0.000132688,S,0,26,50008,2086,5142,5076,10245,10114,9389,5390,5344,4858,3024,1230,414,267,1,13,20,8,40,62,41,39,29,36,9,3,2116,23,126,201,106,376,481,297,297,285,175,76,23,36541,0,0,0,0.00205761,0.0208333,0.00201613,0.0196078,0,0,0.00990099,0,0,0,0.00702247,0.00638978,0.0167598,0.00673401,0.00273973,0,0,0.00217865,0.00840336,0,0.00229095,0.00558659,0,0.0217391,0,0.018315,0.000755858,0,0.0109649,0,0.0354505,0.00745156,0.00713267,0,0.00156055,0.0216981,0.0260736,0.0795699,0,0.00166389,0,0,0,0.00705882,0,0.00131822,0.0535714,0,0.00731422,0.00253807,0.00483092,0,0,0.00158082,0.00147493,0,0,0,0,0.00165153,0.000621118,0.00357782,0.0651261,0,0.0411523,0.0833333,0.0604839,0.156863,0.014377,0.0231214,0.029703,0,0.0107962,0,0.0646067,0.0495208,0.0558659,0.0707071,0.0356164,0.00862069,0.0144928,0.043573,0.0546218,0.0175439,0.0171821,0.0418994,0.00478469,0.130435,0,0.135531,0.0113379,0.0117647,0.0712719,0.00970874,0.187592,0.0603577,0.0485021,0.0109589,0.0196629,0.107547,0.134969,0.326882,0,0.0166389,0,0.0122449,0.0211268,0.131765,0,0.0250461,0.232143,0,0.0620246,0.0253807,0.0338164,0.0196078,0.0517241,0.0184429,0.019174,0.0506329,0.00695652,0.0208333,0,0.0148637,0.0192547,0.0178891,3979671348
1,2020,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,49449,1995,5101,4960,10014,9883,9405,5421,5218,4812,2980,1278,438,82,0,2,7,4,11,13,14,14,9,11,4,2,1247,12,82,107,49,229,271,169,170,180,110,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285307,0,0,0,0.000561482,0,0,0,0,0,0.00116144,0,0,0,0,0.00361011,0.000773994,0,0.00397501,0,0.00881057,0.00230326,0.00289017,0,0.000921093,0.00384615,0.00778816,0.0242291,0,0.000856898,0,0,0,0.00460829,0,0.000266454,0.04,0,0.00270921,0.00042735,0,0,0,0.000532198,0,0,0,0,0,0.00252738,0.00126422,0.00520833,0.034632,0,0.016632,0.0943396,0.0282258,0.0892857,0.00630915,0.010989,0.00333333,0,0.00552486,0,0.0370899,0.0285261,0.0224719,0.0393443,0.0202134,0,0.0111524,0.0232068,0.0429185,0.0175439,0.00929152,0.0342857,0.00518135,0.0714286,0,0.0794224,0.00928793,0.0235294,0.044293,0.00952381,0.110132,0.0387716,0.0346821,0,0.0125883,0.0634615,0.0856698,0.215859,0,0.0128535,0,0.00833333,0.00996678,0.078341,0,0.0125233,0.15,0,0.0355208,0.0123932,0.019802,0.0186916,0.0296053,0.0110431,0.0108192,0.0346535,0.00175747,0.0208333,0,0.00758214,0.0120101,0.0173611,3979671348
1,2021,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730487,0.000882994,0.000132688,S,0,26,48866,1909,4933,4834,9668,9672,9268,5643,5024,4781,2994,1363,453,88,1,1,5,4,9,14,17,14,14,9,5,2,1124,12,57,94,37,186,255,159,152,152,109,49,25,35696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289855,0,0,0,0.00111607,0,0,0,0,0,0.00119048,0,0,0,0,0.00247831,0.000788022,0,0.00408401,0,0.0116618,0.00195848,0.00293255,0,0.00154991,0.003861,0.00950872,0.028169,0,0.000884173,0,0,0.0035461,0.00464037,0,0.000269542,0.0380952,0,0.00307031,0.000426985,0,0,0,0.000536913,0,0,0,0,0,0.00347826,0.00127065,0.00176056,0.0269058,0,0.0105042,0.0909091,0.0251938,0.0816327,0.0031348,0.0106952,0.00341297,0,0.0028169,0,0.0318841,0.0275527,0.015873,0.0285714,0.0184152,0,0.00738007,0.0174672,0.0425532,0,0.0107143,0.0295858,0.00502513,0.0652174,0,0.0656753,0.00866824,0.021978,0.0414236,0.0196078,0.104956,0.0332942,0.0307918,0,0.0123993,0.0569498,0.0808241,0.253521,0,0.0114943,0,0.00639659,0.0035461,0.0603248,0,0.0113208,0.161905,0,0.0337734,0.0106746,0.0162162,0,0.0202703,0.0100671,0.00784929,0.0311005,0,0.0196078,0,0.00869565,0.0108005,0.0158451,3979671348
1,2022,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,48240,1876,4826,4716,9288,9528,9089,5872,4897,4675,3041,1406,444,20,0,0,1,1,1,3,5,1,6,1,2,0,614,6,23,48,18,93,130,102,74,92,63,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123916,0,0,0,0,0,0,0,0.001772,0,0,0.000794281,0.00153846,0,0.000315756,0,0.00315956,0.00704225,0,0,0,0,0,0.00235849,0,0,0,0,0.00123115,0.000440141,0,0,0,0.000136705,0,0,0,0,0,0,0,0,0.00453515,0,0.00206612,0.0526316,0.0159046,0.08,0.00155763,0.00537634,0.00687285,0,0,0,0.0171875,0.0202361,0.00543478,0.00680272,0.00728291,0,0.00371747,0.0102881,0.0357143,0,0.0086741,0.0118343,0.005,0.0434783,0,0.0327456,0.00567721,0.0111111,0.019492,0.0194175,0.0640114,0.0190627,0.0138462,0,0.00789391,0.023976,0.0442338,0.157277,0,0.00729927,0,0.00421941,0,0.0259434,0,0.00374231,0.0576923,0,0.0218529,0.00616197,0.00518135,0,0.0103806,0.00628845,0.00470958,0.0191388,0,0,0,0.00438596,0.00649773,0.013986,3979671348
1,2023,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,47690,1864,4669,4608,9057,9285,8844,6158,4745,4587,3082,1475,457,19,0,0,2,1,3,5,2,0,6,0,2,0,494,4,15,36,12,63,112,75,62,84,44,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123762,0,0,0,0,0,0,0,0.00235988,0,0,0.000786782,0.00298954,0,0.000322165,0,0,0.00722892,0,0,0,0,0,0.00239234,0,0,0,0,0.000941915,0.000444444,0,0,0,0.000137533,0,0,0,0,0,0,0,0,0.00224215,0,0.00206186,0.0612245,0.0107066,0.0392157,0,0,0.0031746,0,0.00150602,0,0.0161031,0.0154639,0.00549451,0.00680272,0.00505334,0,0.00416667,0.00829876,0.0271493,0,0.00618812,0.0060423,0,0.0181818,0,0.0235149,0.00335852,0.012987,0.019469,0.0206186,0.0475504,0.0141621,0.0119581,0,0.00708763,0.0183673,0.036566,0.139759,0,0.00469484,0,0.00208768,0,0.0239234,0,0.00375436,0.0515464,0,0.0185243,0.00577778,0.00510204,0,0.0035461,0.00508871,0.00481541,0.0120192,0,0,0.0192308,0.003663,0.00528751,0.0108499,3979671348
1,2024,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,47168,1747,4588,4483,8797,9064,8666,6394,4579,4506,3125,1541,496,7,1,0,0,1,0,3,2,0,1,0,0,0,262,3,13,23,7,40,57,45,24,37,28,17,7,19213,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124069,0,0,0,0,0,0,0,0,0,0,0.000390778,0.00148588,0,0.00032113,0.00102145,0,0,0,0,0,0,0,0,0,0,0,0,0.000649773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225734,0,0,0.0408163,0.00631579,0.0238095,0,0,0,0,0.00155763,0,0.0118644,0.0100671,0,0.00346021,0.00228833,0,0.00404858,0,0.00858369,0,0.00620347,0.0060241,0,0,0,0.011465,0.00253807,0,0.00838323,0.0119048,0.0202605,0.007034,0.00594354,0,0.00353243,0.00919305,0.0159744,0.0795181,0,0.00191022,0,0,0,0.00925926,0,0.00188883,0.04,0,0.0129955,0.00316742,0,0,0,0.00294241,0.00159744,0.00229885,0,0,0.0188679,0.00200401,0.00329598,0.00892857,3979671348
