SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,308,8,38,29,29,70,62,43,46,34,14,10,0,1818,60,181,158,160,317,338,308,310,229,102,54,0,0,0,0,0.00549451,0.0133588,0,0,0,0,0,0,0,0.00108696,0,0.00116959,0.0097561,0.0714286,0.0139276,0.00722195,0,0,0,0,0,0,0.00230947,0,0,0.00666667,0,0.000575705,0,0.00052687,0.00884956,0.0152144,0.00250391,0,0,0.000637349,0.0186125,0,0.00545455,0,0,0,0.0164706,0.0200501,0.0045045,0.0141844,0.00126422,0,0,0.00885403,0.000816327,0.00518135,0,0,0.0123348,0.00118906,0.0123457,0.00292398,0.0208333,0,0.0048376,0.0148035,0,0.00202429,0.021978,0.0591603,0,0.020202,0,0.00619195,0.0123457,0.008,0.0117647,0.0141304,0,0.00233918,0.0308943,0.267857,0.0473538,0.0544054,0.0353982,0.00537634,0.00458716,0.0114504,0,0.00769231,0.00230947,0.0323887,0,0.0466667,0,0.00575705,0,0.00579557,0.0176991,0.0843707,0.0084507,0.00112108,0.00223214,0.00382409,0.071912,0,0.0727273,0.125,0,0,0.0941176,0.0802005,0.0653153,0.070922,0.011378,0,0.0338983,0.0518593,0.00734694,0.0259067,0,0.00668896,0.0738829,0.00118906,0.0864198,0.0204678,0.0416667,0.0188679,0.0456116,0.0801429,0.0015625,3279113193
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53944,2529,6127,6058,12571,12124,7369,6752,6703,4679,2451,1186,109,371,18,41,33,33,72,85,45,68,38,18,8,4,1762,53,177,155,117,328,323,297,324,207,113,45,8,0,0,0.00206612,0.011976,0.0156863,0,0.002,0,0,0,0,0,0.00221729,0,0.00117786,0.011041,0.0704225,0.0178571,0.00884086,0,0,0,0.00387597,0,0,0.00472813,0,0,0.00649351,0.00123153,0.00171331,0,0.000524934,0.0169492,0.0245566,0.0019274,0,0,0.00064704,0.0207612,0,0.0113422,0,0,0,0.0141844,0.0125313,0.00917431,0,0.00152788,0,0.0176991,0.0119593,0.00206356,0.00961538,0,0,0.0155466,0.00117096,0.01,0.00441176,0,0,0.00413508,0.0144033,0,0.00413223,0.0299401,0.0627451,0,0.02,0,0.0078125,0.00649351,0.0077821,0.0116279,0.0133038,0,0.00235571,0.0268139,0.295775,0.0535714,0.0559921,0.0275229,0.00518135,0.00469484,0.0155039,0,0.00333333,0.00472813,0.0167364,0.0212766,0.0519481,0.00123153,0.00628212,0,0.00419948,0.0254237,0.0818554,0.00931577,0.00113895,0.00229885,0.00452928,0.0700692,0.00137552,0.073724,0,0.00091659,0,0.0851064,0.0676692,0.0573394,0.0441176,0.0114591,0,0.0353982,0.053944,0.00907965,0.0336538,0,0.00655738,0.0707121,0.00117096,0.0675,0.025,0.0408163,0.0217391,0.0406616,0.0725309,0.0015748,3279113193
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53600,2457,6026,5831,12351,11874,7670,6491,6558,4790,2539,1139,188,418,9,37,43,23,83,83,66,79,46,20,12,6,1900,35,183,189,107,380,335,309,342,233,124,51,19,0,0,0.00209205,0.0124224,0.0253165,0,0,0,0,0,0.00362319,0,0.00240385,0,0.00238663,0.00934579,0.10628,0.024024,0.00935961,0,0,0,0.003861,0,0,0.00458716,0,0,0.00649351,0.00121359,0.00234329,0,0.00105097,0.0181818,0.0234483,0.00259994,0,0.00449438,0.001287,0.0222222,0,0.00961538,0,0,0,0.0219512,0.01,0.00938967,0.0075188,0.00257003,0.00689655,0.0275229,0.0139969,0.00245801,0.00990099,0,0,0.0161169,0.00235018,0.0124069,0.00583942,0.0204082,0,0.00506879,0.0128535,0.00162338,0.00209205,0.0559006,0.0696203,0,0.00826446,0,0.0113452,0.00617284,0.0144928,0.0116959,0.0168269,0,0.00357995,0.0280374,0.289855,0.0600601,0.0586207,0.0283019,0.00505051,0.00697674,0.023166,0,0.00223214,0.00917431,0.0135747,0.0212766,0.0649351,0.00364078,0.00820152,0,0.00578035,0.0363636,0.0868966,0.0116997,0.0011655,0.00674157,0.00611326,0.0837607,0.00269906,0.0615385,0,0.00353669,0,0.1,0.0725,0.0469484,0.037594,0.0133642,0.00689655,0.0366972,0.0619492,0.00942237,0.049505,0,0.00675676,0.0768366,0.00352526,0.0719603,0.020438,0.0612245,0.0416667,0.0354815,0.0714653,0.00324675,3279113193
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53156,2378,5944,5639,12003,11578,8103,6184,6417,4890,2627,1107,247,471,5,44,37,28,84,98,73,88,51,31,13,5,2149,29,191,196,125,417,406,339,370,264,147,57,24,0,0,0.00214592,0.010989,0.0280778,0,0,0,0,0,0.00369004,0,0.00236967,0,0.00123305,0.0130081,0.130233,0.0185759,0.0106744,0,0,0,0.00392157,0,0.00110254,0.00229885,0,0,0.00680272,0.00124533,0.00367422,0,0.00105541,0.0183486,0.0344371,0.00199071,0,0.0071599,0.00127796,0.025394,0,0.00757576,0,0.000876424,0,0.0212264,0.0147059,0.011655,0.00684932,0.00280326,0.00735294,0.0172414,0.0150475,0.00331675,0.0103093,0,0,0.0185442,0.00242718,0.0140187,0.0060241,0,0,0.00524738,0.0158646,0.00166113,0.00429185,0.0494505,0.0971922,0,0.00842105,0,0.0145161,0,0.0110701,0.0117647,0.0225118,0,0.00739827,0.0373984,0.35814,0.0712074,0.0591946,0.0181818,0,0.00681818,0.0196078,0,0.00441014,0.0206897,0.010101,0.0222222,0.0680272,0.00747198,0.0128598,0,0.00844327,0.0642202,0.107285,0.0172528,0.0034965,0.0143198,0.00798722,0.0858144,0.004,0.0662879,0,0.00525855,0,0.0966981,0.0833333,0.048951,0.0342466,0.016055,0.0147059,0.0344828,0.0715417,0.0140962,0.056701,0,0.0181818,0.0841428,0.00728155,0.0747664,0.0225904,0.08,0.0384615,0.0337331,0.0772078,0.00332226,3279113193
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52730,2340,5814,5554,11745,11272,8432,5987,6260,4969,2692,1067,306,528,4,38,42,19,104,110,66,102,72,36,13,6,2487,29,195,240,129,493,485,372,426,321,164,65,32,0,0,0.00220264,0.0228571,0.0421053,0,0,0,0.0033389,0,0.00334448,0,0.00239234,0,0.00375469,0.0128205,0.154545,0.0189274,0.00964467,0,0,0,0.008,0,0,0.0023753,0,0,0.02,0.00369458,0.00316656,0,0.00158228,0.00970874,0.0334262,0.00165017,0.00234467,0.00744417,0.00157878,0.0277778,0.00132979,0.0100402,0,0.00171233,0,0.0334129,0.0210526,0.0116009,0.00694444,0.003861,0.00787402,0.027027,0.0182214,0.00337838,0.00497512,0,0,0.0201283,0.00376884,0.0163934,0.00468019,0,0,0.00534351,0.0142857,0.00165837,0.00881057,0.0571429,0.128421,0.0222222,0.00590551,0,0.0116861,0,0.0100334,0.00591716,0.0227273,0,0.0162703,0.0464744,0.4,0.0946372,0.0664975,0.00869565,0,0.0131004,0.028,0,0.00227015,0.0190024,0.0108696,0,0.0866667,0.0147783,0.0164661,0,0.0100211,0.0873786,0.126741,0.0207921,0.00586166,0.0198511,0.0113672,0.0989583,0.00930851,0.0562249,0,0.00941781,0.00628931,0.133652,0.0921053,0.0464037,0.0208333,0.0198198,0.023622,0.0540541,0.0883873,0.0181588,0.0696517,0,0.0179211,0.0963643,0.00879397,0.0936768,0.0265211,0.0925926,0.037037,0.0389313,0.0740741,0.00497512,3279113193
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52187,2284,5701,5460,11362,11027,8679,5812,6083,5056,2758,1065,345,605,7,31,52,24,103,134,88,107,85,43,13,8,2805,45,198,277,152,539,590,411,450,386,184,62,31,0,0,0.00234742,0.0228571,0.0496894,0,0,0,0.00322581,0,0,0,0.00123762,0,0.00512164,0.0130081,0.179372,0.0135135,0.0104767,0,0,0.00207469,0.00392157,0,0.0011274,0.00496278,0,0,0.0181818,0.00474496,0.0058862,0,0.000542005,0.00980392,0.0354707,0.00365935,0.00240096,0.00511509,0.00218341,0.0332481,0.00272851,0.012,0,0.00169635,0,0.0339806,0.0200573,0.0136674,0.00641026,0.0043837,0.00793651,0.0212766,0.0228041,0.00427533,0.00502513,0,0,0.0228484,0.00382653,0.022113,0.00626959,0.015625,0,0.00461894,0.0178959,0.00168919,0.0117371,0.0628571,0.153209,0.0212766,0.00420168,0,0.0145161,0.00649351,0.00619195,0,0.0259901,0,0.0192061,0.0552846,0.479821,0.114865,0.063384,0.00925926,0,0.0165975,0.027451,0,0.00563698,0.0248139,0.0114286,0,0.0969697,0.0213523,0.0235448,0,0.0119241,0.117647,0.154161,0.0242848,0.0060024,0.0230179,0.0149719,0.109122,0.0122783,0.062,0,0.0118745,0.0060241,0.148058,0.106017,0.0592255,0.0448718,0.0234657,0.0238095,0.0319149,0.106982,0.0230868,0.0753769,0,0.0184502,0.106118,0.0102041,0.110565,0.0266458,0.109375,0,0.0377213,0.0824295,0.00675676,3279113193
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51732,2200,5567,5396,11073,10852,8922,5627,5937,5038,2806,1111,366,697,10,38,51,30,109,151,107,112,103,53,20,12,3060,50,221,292,160,581,676,459,441,417,213,77,36,0,0,0.00683371,0.0254777,0.0521921,0,0.00407332,0,0.00807754,0,0,0.00645161,0,0,0.00522193,0.0145631,0.19214,0.00668896,0.0143388,0,0,0.00204918,0.00793651,0,0.00114286,0.00241546,0,0,0.0245399,0.00246914,0.00333556,0,0.00108696,0.0196078,0.0527046,0.00465116,0.0037594,0.00512821,0.0031837,0.0375218,0.004,0.0102669,0,0.00176211,0.00588235,0.0360577,0.0179104,0.0136674,0.0118343,0.00566864,0.00819672,0.0285714,0.026981,0.00699606,0.00487805,0,0,0.0255076,0.003861,0.0318627,0.00497512,0.0153846,0,0.00308642,0.0211228,0,0.0182232,0.0828025,0.179541,0.0175439,0.00610998,0,0.0177706,0.00628931,0.00600601,0.00645161,0.0267857,0,0.0313316,0.0582524,0.537118,0.113712,0.062666,0,0,0.0184426,0.0357143,0,0.008,0.0386473,0.00641026,0.0545455,0.110429,0.0222222,0.0260173,0,0.0141304,0.117647,0.166436,0.0269103,0.0162907,0.025641,0.0181471,0.122164,0.0173333,0.0616016,0,0.00792952,0.0117647,0.139423,0.113433,0.0569476,0.035503,0.0286009,0.0245902,0.0380952,0.115024,0.0284215,0.0780488,0,0.0283688,0.113325,0.014157,0.134804,0.0348259,0.0923077,0,0.037037,0.0933852,0.00701754,3279113193
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51178,2119,5430,5317,10782,10634,9107,5510,5746,4999,2851,1166,383,830,11,47,70,28,138,184,128,127,120,63,27,15,3283,50,199,320,164,609,754,487,475,438,236,82,38,0,0,0.00884956,0.0248447,0.0635593,0,0.00203666,0,0.0105079,0,0,0.00671141,0.00126904,0,0.00512821,0.0141509,0.25,0.00651466,0.0191886,0,0,0.00214133,0.0123457,0,0.00115207,0.0052356,0,0,0.0331126,0.00483676,0.00475543,0,0.00219419,0.0190476,0.066092,0.00506586,0.0065703,0.00518135,0.00451322,0.0411919,0.00414938,0.00632911,0,0.00169779,0.00552486,0.0431472,0.0179641,0.0112867,0.010989,0.0083442,0,0.0190476,0.0319118,0.00856898,0.00947867,0,0,0.0294231,0.00669344,0.0320988,0.00827815,0.0149254,0,0.00393082,0.0309101,0,0.0287611,0.0869565,0.213983,0.0175439,0.00610998,0,0.033275,0.0129032,0.0118343,0.00671141,0.0203046,0,0.0371795,0.0581761,0.578947,0.114007,0.0663377,0,0.0047619,0.012848,0.0452675,0,0.00921659,0.0418848,0,0.0909091,0.119205,0.025393,0.0285326,0,0.0186506,0.114286,0.150862,0.031746,0.0249671,0.0310881,0.0235332,0.127958,0.0207469,0.0632911,0,0.0101868,0.0220994,0.149746,0.107784,0.0677201,0.0384615,0.0370274,0.00909091,0.0285714,0.124746,0.0321337,0.0805687,0,0.0338983,0.118844,0.0240964,0.150617,0.0347682,0.0597015,0,0.0369497,0.0984545,0.0142096,3279113193
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.731965,0.000882994,0.000132688,S,0,26,50583,2162,5252,5273,10480,10420,9325,5373,5550,4955,2895,1186,399,955,11,46,80,30,161,228,143,138,125,82,29,19,3547,55,214,351,177,669,827,499,531,442,266,90,46,37025,0,0.0108225,0.0127389,0.0842105,0,0.00397614,0,0.0122592,0,0,0.00740741,0.00380711,0,0.00404858,0.015748,0.302222,0.015625,0.0230282,0,0,0.00217391,0.0121951,0.025,0.0023015,0.00520833,0,0,0.0326797,0.0052356,0.00627178,0,0.00436443,0.0103093,0.0762712,0.00646478,0.00683995,0.00815217,0.00716846,0.0507881,0.00561798,0.00645161,0,0.000805153,0.00558659,0.0229008,0.0215385,0.0152505,0.0106952,0.0115911,0,0.0190476,0.0345138,0.0103672,0.0100503,0,0,0.0327974,0.00803213,0.0379747,0.0119048,0.0357143,0,0.00235849,0.0364583,0,0.0367965,0.0764331,0.252632,0.0178571,0.00994036,0,0.0350263,0.00649351,0.00961538,0.0222222,0.0215736,0,0.0377868,0.0519685,0.613333,0.109375,0.0754174,0,0.00460829,0.0152174,0.0365854,0.075,0.0115075,0.0494792,0.00628931,0.0952381,0.163399,0.0235602,0.0313589,0.011236,0.020731,0.123711,0.170904,0.0374277,0.0314637,0.0380435,0.0306289,0.147986,0.0337079,0.0580645,0,0.0128824,0.0167598,0.10687,0.123077,0.0697168,0.0320856,0.0482086,0,0.0285714,0.138655,0.0358531,0.0753769,0,0.0237288,0.124244,0.0227577,0.151899,0.0442177,0.142857,0,0.0298742,0.108796,0.0202578,3279113193
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.731025,0.000882994,0.000132688,S,0,26,50001,2083,5079,5113,10202,10155,9368,5328,5390,4896,3013,1241,408,283,0,18,21,6,52,67,45,39,43,20,8,3,2340,30,134,223,100,429,563,327,332,310,178,71,30,36552,0,0.0021978,0.00684932,0.0327869,0,0,0,0.00357782,0,0,0,0.00129702,0,0.0013587,0.00159236,0.116592,0,0.00415924,0,0,0,0.00823045,0.0217391,0.00115741,0.00251256,0,0,0.02,0.00125313,0.00428878,0,0.00112486,0,0.0228659,0.00242215,0.00692521,0.0084507,0.00163239,0.0122058,0.00286944,0.00222717,0,0,0,0.00746269,0.00898204,0.00890869,0.0114943,0.00446194,0,0,0.0091631,0.00174978,0,0,0,0.00931677,0,0.0107527,0.00165837,0,0,0.0015873,0.00940623,0,0.0307692,0.0273973,0.165984,0,0.0140562,0,0.0214669,0.030303,0.00331126,0.0155039,0.0129702,0,0.0190217,0.0318471,0.443946,0.0745342,0.0457516,0,0.00440529,0.00628931,0.0288066,0.0434783,0.00925926,0.0326633,0.00657895,0.0333333,0.1,0.0125313,0.0221587,0.0114943,0.015748,0.0707071,0.117378,0.0252595,0.0277008,0.0366197,0.0225269,0.087184,0.0186514,0.0334076,0,0.00492611,0,0.0497512,0.110778,0.0356347,0.0344828,0.0325459,0,0.0192308,0.096518,0.0244969,0.035533,0,0.0140351,0.0829451,0.0246914,0.0887097,0.0348259,0.0517241,0,0.0206349,0.0687831,0.0174081,3279113193
1,2020,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,49453,1947,5056,5032,9929,9971,9382,5375,5167,4879,3067,1270,413,89,2,2,2,3,7,24,19,16,13,6,1,0,1351,13,74,113,56,228,328,203,188,198,101,34,15,0,0,0,0.00636943,0.0144628,0,0,0,0.00353357,0,0,0,0.00135135,0,0,0,0.026087,0,0.000601685,0,0,0,0.00404858,0.0238095,0,0,0,0,0.0123457,0,0.00145243,0,0,0,0.00449102,0,0.00142653,0,0.00192493,0.00448029,0.00298954,0,0,0,0,0.00255102,0.00294985,0.00686499,0,0.00105208,0,0,0.0031348,0.000447628,0,0,0,0.00261746,0,0,0,0,0,0.000805153,0.00364742,0.00186567,0.0200445,0.0127389,0.113636,0,0.0039604,0.0163934,0.0123675,0.0151515,0,0.0162602,0.0108108,0,0.00957592,0.00990099,0.278261,0.0551948,0.0258724,0,0,0.0021322,0.0202429,0.047619,0.00792752,0.0198511,0.00694444,0,0.0802469,0.0074813,0.0123457,0.0114943,0.00930233,0.0192308,0.0628743,0.0163352,0.0085592,0.0231214,0.0147578,0.0528674,0.0164425,0.0131291,0,0.00340136,0.0060241,0.0280612,0.0530973,0.02746,0.0223464,0.0194634,0,0,0.0592476,0.0102954,0.028436,0,0.00684932,0.0459364,0.015493,0.031746,0.0134454,0.0192308,0,0.0120773,0.0455927,0.011194,3279113193
1,2021,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730007,0.000882994,0.000132688,S,0,26,48816,1890,4858,4880,9640,9710,9284,5559,4975,4781,3090,1358,419,95,4,2,3,5,7,21,23,14,13,10,2,0,1221,17,50,92,45,189,302,192,163,184,99,36,11,35636,0,0,0,0.00775194,0,0,0,0.00362319,0,0,0,0.00132626,0,0,0,0.033195,0,0.000610128,0,0,0,0.00431034,0.0243902,0,0,0,0,0.00598802,0,0.000753012,0,0.00059312,0,0.00601504,0,0.00149477,0,0.00128123,0.00739372,0.00320513,0,0,0,0,0.00505051,0,0.00465116,0.00628931,0.00105597,0,0,0.00438459,0.000450045,0,0,0,0.00277301,0,0,0,0,0,0,0.00433437,0.00544465,0.013986,0.0125,0.106589,0,0.00193424,0.0188679,0.0126812,0.013986,0.00607903,0.0181818,0.0119363,0,0.00848656,0.00511073,0.257261,0.0384615,0.0244051,0,0,0.00212766,0.0301724,0.0731707,0.00450958,0.0154639,0.00729927,0,0.0778443,0.00255102,0.0143072,0.0123457,0.00771056,0.0104167,0.043609,0.0144823,0.0104634,0.0229226,0.0147341,0.0536044,0.0176282,0.00941176,0,0.00258176,0.0119048,0.0328283,0.0578035,0.0209302,0.0251572,0.0187434,0.0121951,0.00900901,0.0538678,0.00990099,0.0150754,0,0,0.0404067,0.014556,0.0185676,0.0123457,0,0,0.0108787,0.0408669,0.0127042,3279113193
1,2022,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,48203,1899,4742,4753,9224,9553,9127,5794,4849,4653,3131,1418,454,27,1,3,1,3,2,5,7,5,3,2,0,0,697,7,30,52,25,98,180,115,110,92,53,17,7,0,0,0,0,0.00371747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413223,0.0217391,0,0,0,0,0.0116959,0,0,0,0,0,0,0,0,0,0.000637552,0,0.00483092,0,0,0,0,0,0,0,0.00636943,0,0,0,0.00193861,0,0,0,0,0.000673129,0,0,0,0,0,0,0.00185874,0.00178571,0.00943396,0.0188679,0.0594796,0,0.00189753,0,0.00544465,0.0136986,0.00613497,0,0.00801068,0,0.00749625,0.00654664,0.17316,0.0215054,0.0120406,0,0,0,0.0289256,0.0652174,0.00460299,0.0101266,0,0,0.0526316,0,0.00683371,0,0.00353774,0,0.0242424,0.00626151,0.00468019,0.0060241,0.0092445,0.033241,0.00805153,0.00746269,0,0.0026178,0.00574713,0.0175879,0.0307692,0.0205011,0.0254777,0.00801496,0.0126582,0,0.0319871,0.00590372,0.00990099,0.0117647,0.00413223,0.0223479,0.00749625,0.0127551,0.00715564,0,0,0.00591716,0.0254027,0.0142857,3279113193
1,2023,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,47616,1892,4571,4599,9004,9249,8955,6124,4650,4535,3209,1431,459,25,1,2,1,4,2,6,5,4,1,3,0,0,554,6,21,39,15,76,140,98,77,75,51,15,7,0,0,0,0.00645161,0.00184843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444444,0.0666667,0,0,0,0,0.0121212,0,0,0,0,0,0.0015748,0,0,0,0.000318573,0,0.00486224,0,0,0,0,0,0,0,0,0,0,0,0.00132013,0,0,0,0,0.000673219,0,0,0,0,0,0,0.00126024,0.00174216,0.00512821,0.0258065,0.0554529,0,0.00195695,0,0.00365631,0.00694444,0.00299401,0,0.00412655,0,0.00480769,0.00491803,0.137931,0.0186567,0.00955414,0,0,0,0.0266667,0.0888889,0.00579374,0.00787402,0,0,0.0424242,0,0.00545171,0,0.00305437,0,0.0173228,0.00409989,0.00327332,0.0030303,0.00892004,0.0254083,0.0113452,0.0078125,0,0.00178731,0.00558659,0.0125,0.0247678,0.0160183,0.0111111,0.00601915,0.0142857,0,0.0257426,0.0050738,0.00473934,0,0.00396825,0.0170998,0.00462963,0.00793651,0.00701754,0,0,0.00344234,0.0226843,0.0139373,3279113193
1,2024,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,47033,1760,4515,4471,8743,9011,8727,6423,4517,4433,3253,1449,477,19,2,1,4,3,5,3,2,1,2,2,1,0,362,5,15,30,10,53,90,63,54,40,36,9,7,10711,4536,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995025,0.08,0,0,0,0,0,0,0,0,0,0,0.0015873,0,0,0,0.000321647,0,0.00330579,0,0,0,0,0,0,0,0,0,0,0,0.000999667,0,0,0,0,0.000408386,0,0,0,0,0,0,0,0.00342466,0.00537634,0.0372671,0.0412758,0,0,0,0.00182815,0.00740741,0,0,0.00133869,0,0.00165563,0.00338983,0.0986547,0.0109091,0.00510856,0,0.00396825,0,0.0248756,0.12,0.00353357,0.00546448,0,0,0.027027,0,0.0024,0,0.000623441,0,0.00952381,0.00230061,0.00170068,0,0.00611129,0.0165289,0.0132231,0,0,0.00179051,0,0.00253165,0.0118343,0.0163551,0.0108696,0.00469354,0,0,0.0156614,0.00371402,0,0,0.00390625,0.010618,0.00153846,0.00864553,0.00361664,0.0175439,0,0.00259965,0.0167418,0.0119863,3279113193
